tld,n
twitter.com,42
www.pinterest.com,27
www.yumpu.com,17
www.revolvy.com,16
www.wikiwand.com,15
wikivisually.com,13
en.wikipedia.org,12
www.freerepublic.com,12
sputniknews.com,12
www.facebook.com,10
www.youtube.com,9
www.theguardian.com,9
www.dw.com,9
www.kitapsec.com,9
medium.com,8
www.democraticunderground.com,8
usefulstooges.com,8
slideplayer.com,7
www.wikizero.com,7
poliflw.nl,7
www.globalinfo.nl,7
www.msn.com,7
littlegreenfootballs.com,7
www.israellycool.com,7
wikipedia.nd.ax,6
www.popflock.com,6
www.allcitycanvas.com,6
www.istanbulkitapcisi.com,6
storieinmovimento.org,6
culturefly.co.uk,5
www.gettyimages.com,5
wallup.net,5
kimsmithdesigns.com,5
filmandtv.com,5
www.ebay.com,5
www.kickstarter.com,5
www.qdaily.com,5
www.commondreams.org,5
brucelyonsblog.wordpress.com,5
justworldeducational.org,5
speculorum.wordpress.com,5
questiondigital.com,5
www.doradcapodrozy.pl,5
www.deryayinevi.com.tr,5
ukmediawatch.org,5
www.bokus.com,5
www.wimduzijn.nl,5
fair.org,4
www.newclearvision.com,4
www.pinterest.co.uk,4
