image,pretty_title,body_on_photo,n_webpages,n_scrape-images,scrape-ratio,n_scraped-text-characters,char-page-ratio,n_dates
2,PairedImageDeath,yes,159,13,0.92,879107,5528.97,139
3,OfficialPhoto,no,571,92,0.84,1946359,3408.68,485
4,Tombstone,no,29,11,0.62,306805,10579.48,29
7,BehindTruck,no,776,283,0.64,4761666,6136.17,670
8,MomentOfDeath,no,51,23,0.55,232171,4552.37,41
9,LastAlive,no,32,28,0.12,123813,3869.16,24
11,Falling,yes,73,23,0.6799999999999999,411622,5638.66,51
12,PeopleRunningAfterShot,yes,84,35,0.5800000000000001,558482,6648.6,66
13,UnderCar,yes,131,46,0.65,799420,6102.44,99
14,CarDrivesAway,yes,266,55,0.79,1454946,5469.72,220
16,CloseUpHead53,yes,21,0.6,233966,4414.45,42
17,OtherProtestersShield,yes,51,17,0.6699999999999999,160271,3142.57,43
18,BodyChecked,yes,59,15,0.75,418009,7084.9,52
19,BodyCheckedOtherAngle,yes,22,6,0.73,87180,3962.73,21
21,BodyPoliceCharge,yes,378,138,0.63,2201083,5822.97,315
22,PolicemanLooks,yes,44,26,0.41000000000000003,342169,7776.57,31
24,PoliceMedicsAbove,yes,26,8,0.69,87154,3352.08,16
25,CryingMedic,yes,107,34,0.6799999999999999,750553,7014.51,75
27,BodyUncoveredOtherAngle,yes,97,27,0.72,456666,4707.9,82
28,PoliceWatching,yes,323,54,0.83,825442,2555.55,291
59,AssassiniSign,no,52,21,0.6,274896,5286.46,46
60,CarloPoliceBackground,no,177,47,0.73,550106,3107.94,161
63,CarloGrafitti3,no,20,9,0.55,52492,2624.6,18
