Unnamed: 0,path,photo,url,identifier,date,language,topleveldomain,category,sentences
23,/media/ruben/Data Drive/react-data/protest/carlo-batch/11/11_1/html/ac89cff6-a13f-4238-9e72-bf5261770d6b.html_https://athens.indymedia.org/post/806536/,11.0,https://athens.indymedia.org/post/806536/,ac89cff6-a13f-4238-9e72-bf5261770d6b,2007-12-19,el,athens.indymedia.org,news,"από @||19/12/2007 11:58 πμ.||ως προβοκάτορας όχι των||μπάτσων όμως νομίζω||αλλά ως προβοκάτορας||με την έννοια ότι ορμώμενος από μια διαστραμμένη προσωπική του λογική προσπαθούσε να||απομακρύνει τις πέτρες||γυρω από τον||τζιουλιάνι με σκοπό να μη φανεί ότι||είχε γίνει σύγκρουση και να διαγράψει ακριβώς την ίδια||την επιλογή της σύγκρουσης||που τόσες χιλιάδες είχαν επιλέξει.||μη συγκρίνεις όμως τη λογική που έχουν||διαφορετικά κινήματα||ανά τον κόσμο και ήταν μαζεμένα||εκεί με τη δική σου ή τη λογική που σε ανάλογες περιπτώσεις επικράτησε στον ελλαδικό||χώρο ως απάντηση σε τέτοια εξόφθαλμα γεγονότα κατασταλτικής κρατικής βίας.||επίσης μην ξεχνάς τα πογκρόμ που ακολούθησαν και||τις επιθέσεις της||αστυνομίας σε||ό,τι κινείται.||από ange1096||19/12/2007 12:01||μμ.||δεν νομιζω ότι||έταξε ο||οποιοσδήποτε κάτι στον||giuliani για να πάρει τον πυροσβεστήρα και||να προσπαθήσει να||(αμυνθεί; τον πετάξει μέσα στο τζιπ; εκφοβίσει τους καραμπινιέρους που είχαν τραβήξει πιστόλι; κανείς δεν θα το μάθει).||η όλη ιστορία ήταν καθαρή προβοκάτσια.||φαίνεται και||από τις κινήσεις των δυνάμεων||καταστολής πριν από||το γεγονός.||όσο περισσότερο το σκέφτομαι, τόσο πείθομαι για τα λόγια του ferrario.||επίσης, σαν παζλ||, μπαίνουν στη θέση τους πολλά άλλα πράγματα||που συνέβησαν αμέσως μετά.||για παράδειγμα,||το ότι σε ελάχιστο χρόνο από τη δολοφονία εμφανίστηκε ολοφυρόμενος ένας δημοσιογράφος (υποδιευθυντής μιας κωλοφυλλάδας του μπερλουσκόνι, ο||οποίος στη συνέχεια αποβλήθηκε||από το συνδικαλιστικό||όργανο του ιταλικού τύπου γιατί αποδείχθηκε ότι πληρωνόταν από τις ιταλικές μυστικές υπηρεσίες).||για παράδειγμα, ότι το τζιπάκι των καραμπινιέρων αφέθηκε||να ξεμοναχιαστεί από||τις υπόλοιπες||αστυνομικές δυνάμεις, οι οποίες, αμέσως πριν, στα καλά καθούμενα, χτύπησαν σκληρά ένα||τμήμα της||διαδήλωσης σε σημείο όπου δεν είχε συμβεί τίποτα μέχρι τότε, έτσι για να ανάψουν||τα αίματα||και||να||παρασυρθούν οι διαδηλωτές εναντίον του (του τζιπ).||πρέπει να||παραδεχτούμε ότι είναι επαγγελματίες οι τύποι.||μόνο που είχαν σχεδιάσει αλλιώς τα πράγματα και αλλιώς τους βγήκαν.||γαμημένοι.||όπως δεν μάθαμε τίποτα για την piazza fontana, για το σταθμό της μπολώνιας, για τόσα πράγματα||από τη μαύρη περίοδο των anni di piombo, έτσι δεν θα πληρώσει κανείς για το θάνατο του παιδιού. ||βαγγέλης||από||ανέστιος ||παντοτινός 19/12/2007 1:40 μμ.||πρώτ'  απ'  όλα, προτείνω  να  ||μπαίνουν  ||με  φειδώ  ||οι  ||εικόνες  των  ||εκάστοτε  ||θυμάτων  ||ενόσω  ||κείτονται  άψυχα  όπου  γης.||εμπεδώσαμε  ότι  ||ο  ||κάρλο  ||δέχτηκε  τη  ||σφαίρα  ανάμεσα  ||στη  ||μύτη  ||και  ||την  ||κόγχη  του  ματιού.||έχουμε  γίνει  ||σχεδόν  ||νεκρόφιλοι||(τί  να  πω  για  ||κείνο  ||το  ||βίντεο  ||της  ||κηδείας  του  ||μιχάλη  ||που  ||έδειχνε  το  φέρετρο  ||ενώ  ||κατέβαινε  ||στον  ||τάφο;έλεος!).η  ||μνήμη  ||και  ||η  ||οργή  ||διατηρούνται  και  ||χωρίς  αυτά.||κατόπιν  ||διευκρινίζω  ότι  δεν  ||""καταδικάζω""  καμιά  τάση  μέσα  στο  ανταγωνιστικό  ||κίνημα.||κρατάω  τα  καλά  ||από  την  καθεμιά  και  προσπαθώ  ν'  ασκώ  σεμνή  και  λυσιτελή  κριτική  στα  υπόλοιπα  και  ||με  επίγνωση  ||της  ||εκάστοτε  ||θέσης  μου.||από  κει  και  ||μετά  περισσότερο  ||ξέρω  να  ||σου  πω  τί  ||η  ||ιστορία  και  ||η  ||εμπειρία  ||δείχνουν  ||ότι  ||δεν  πρέπει  να  προτείνει  κανείς  σ'  αυτές  τις  ||περιστάσεις  παρά  ||τί  ||προτείνω  ||εγώ  προσωπικά. ||τις  συνταγές  δεν  ||τις  ||έχει  κανείς  και  το  ξέρουμε:||από  ένα  ή  και  ||κάποια  ||μόνο  ||μυαλά  δεν  ||θα  ||έλθουν  ||ποτέ  δόκιμες  λύσεις.||ειδικά  όταν  ||""μιλάμε""  με  το  βάρος  ||ενός  ||δολοφονημένου  συντρόφου  στους  ώμους  ||μας.||αυτό  ||που  ||προτείνω, είναι  ν'  αφήσουμε  ||τις  ||συνταγές  και  ||ν'  αρχίσουμε  επιτέλους  να  μαγειρεύουμε.||ήτοι:- μου  ακούγεται  τουλάχιστον  κουλό  αυτό  ||που  ||λες  ||ότι  ||πήγε  ||να  ||κάνει  ||ο  τύπος  ||με  ||το  ||κόκκινο.||και  το   λέω  ||γιατί  ||θέλω  να  επισημάνω  ότι  ||η  ||εξεγερτική  πρακτική  του  black  block  ||είναι  πάντα  εξαιρετικά  ||ευάλωτη  ||σε  ||τέτοιες  διεισδύσεις  του  ||(βαθύ) κράτους.||δεν  ||παύουν  ||να  ||είναι  και  άλλες  πρακτικές, αλλά  εδώ  νομίζω  είναι  το...||αγαπημένο  πεδίο  ||της  ||εξουσίας  ||για  ||να  ||κάνει  ασκήσεις  επί  χάρτου - και  ||όπως  λέει  και  ||ο  ||από  κάτω  φίλος, είναι  ||μάνα  ||σ'  αυτό.||σε  προσχεδιασμένες  λοιπόν  συγκρούσεις, όπου μάλιστα  ο  αντίπαλος  σαφώς  υπερτερεί  σε  ισχύ  και  οριοθετεί  το  χώρο  ||και  ||το  χρόνο, δεν  ||πας  ||""αυθόρμητα""  να  τις  παίξεις, βασιζόμενος  ||στην  ορμή,  την  ||οργή  ||και  ||το  ||πλήθος  ||σου, και  ειδικά  ||μόλις  πριν  ||από  λίγες  μέρες  έχεις  ||βρεθεί  ||με  ||ένα  ||κάρο  ||άτομα  ||από  ||άλλες  χώρες  ||που  ||ούτε  γνωρίζεις  ||ούτε  προλαβαίνεις  ||να  ||συνεννοηθείς  ||μαζί  τους  στοιχειωδώς.||ο  ||κάρλο  ||πιθανόν  ||και  ||να  ||πλήρωσε  το  λάθος  που  έδωσε  γόνιμο  έδαφος  στην  εξουσία  ||να  ||στήσει  ||το  ||προκάτ  ||σκηνικό  ||που  είχε  σχεδιάσει.||όσον  αφορά  τη  στρατηγική  της  σύγκρουσης  λοιπόν||,ταπεινή  μου  γνώμη  ||απ'  την  εμπειρία  μου  είναι  ||ότι  ||στις  περιστάσεις  αυτές  βρίσκεσαι  ||από  πριν  ||σε  ||πολλές, μικρές, οργανωμένες, μιλημένες  ομάδες  ||που  έχουν  ||ξεκάθαρη  ||επιχειρησιακή  ||στόχευση  ||και  ||την  κάνουν  γρήγορα (χωρίς  ||και  ||πάλι  ||να  ||σου  εγγυάται  κανείς  ||ότι  δεν  θα  πάει  ||στραβά  ||κάτι).||το  μπούγιο  του  εξεγερτικού  κύματος  που  εμπνέεται κατά  ||βάση  ||από  ||το  πάθος  είναι  δόκιμο  ||γι'  αλλού -στην  περίπτωση  ||αυτή, όταν  το  ||κύμα  ||αποτραβήχτηκε, άφησε  πίσω  του  ||ένα  νεκρό  και, κυρίως, την  αδυναμία  του  ||να  ||πιέσει  ||μετέπειτα  ώστε  να  ||δικαιωθεί  ||η  μνήμη  ||του  στην  κοινωνία - γιατί  ||αυτές  ||οι  ||κινήσεις  δεν  έχουν  ||διάρκεια  και  συνοχή  ||παρά  μόνο  ||τη  στιγμή  που  βράζουν. ||μετά  κατακάθονται  ||μέχρι  το  επόμενο  ραντεβού.||- αυτό  που  περισσότερο  εμένα  με  ||νοιάζει  ||όμως, είναι  ακριβώς  ||αυτή  ||η  ||αδυναμία  ||που  ||προανέφερα, σε  ||σχέση  τώρα  ||με  το  ||όλο  κίνημα  ||της  ||αντιπαγκοσμιοποίησης.||στην  περίπτωση  ||αυτή, η  ||ανομοιογένεια, το  ετερόκλητο  του  πλήθους, η  σε  πολλές  περιπτώσεις  αποκλίνοντες  ||(ως  και  συγκρουόμενοι) στόχοι, η  διασπορά  του  μετά  ||τις  ||πορείες  σε  διαφορετικές  ||εγχώριες  πραγματικότητες  και  ||η  ||εγγενής  αδυναμία  της  άγνοιας  της  πραγματικότητας  ||της  ||χώρας  ||όπου  ||κάθε  φορά  συρρέει (που  αντιμετωπίζει  υποτυπωδώς  ||με  ενημερώσεις  και  προπαρασκευαστικές  συναντήσεις  λίγο  καιρό  πριν  ||ή  ||εκείνες  ||τις  μέρες) -||όλ'  αυτά  δεν  του  επέτρεψαν  στην  περίπτωση  του  κάρλο  να  σταθεί  στο  ύψος  του.||θα  έπρεπε  να  ||έχει  ||συστήσει  ειδική, διαρκή  legal  team  για  ||το  θέμα, που  να  ||το  κρατάει  ζωντανό  τουλάχιστον  ||για  όσο  καιρό  το  ||ιταλικό  κράτος  ||είχε  το  θράσος  να  στήνει  από  ||πάνω  και  ||δίκες, να  ||καλεί  ||περιοδικά  σε  παραστάσεις  ||έξω  ||από  ||τις  ||κατά  τόπους  ιταλικές  πρεσβείες, να  ||ορίσει  ||ξέρω  'γω  μια  ||μέρα  μνήμης  ||με  εκδηλώσεις  παντού  και  ||να  ||κινήσει  ||νομικές  διαδικασίες  ||(έστω...!) ενάντια   στις  ιταλικές   αρχές  για  το  φόνο  και  τη  γενικότερη  ||βία  ||εκείνων  ||των  ||ημερών:||να  μην  τους  ||αφήνει  σε  ησυχία  και  ||να  ||είναι  ||υπόλογοι  ||και  ||υπόδικοι  ||οι  ||δολοφόνοι, όχι  εμείς, όπως  συμβαίνει  ||σήμερα!αλλά  πώς  ||θα  ||μπορούσε  να  ||γίνει  αυτό  ||υπό  ||τις  ||συνθήκες  που  συγκροτείται; μάλλον  μόνο  σπασμωδικά, πρωτοβουλιακά  και  αν...||- τέλος, προτείνω  να  σταματήσει  ο  κόσμος  να  δαπανά  ||ενέργεια  ||σε  τέτοιες  διεθνείς  συγκεντρώσεις.||για  μένα  η  γένοβα  κατέδειξε - δυστυχώς  ||με  ||τραγικό  ||τρόπο - τα  όρια  ||και  ||τις  ||δυνατότητες  ||αυτής  ||της  ||συμμάζωξης.||ό,τι  ||τέλος  ||πάντων  ||πέτυχε  ||πέτυχε  και  ||ό,τι  ||έχασε  έχασε.||ήταν  σταθμός  και  τέρμα.||ο  ||καλύτερος  ||φόρος  ||τιμής  ||στον  ||κάρλο  είναι  αυτό  που  ||μεγάλο  ||μέρος  ||του  κόσμου  αυτού, είναι  αλήθεια, κάνει  στις  χώρες  του: δράσεις, στέκια, αγώνες, καταλήψεις, κοοπερατίβες, συγκρούσεις  κλπ.||δε  χρειάζεται  να  τρέχει  πίσω  ||από  το  κεφάλι  ||του  ψαριού  ||όπου  αυτό  ||αποφασίζει  να  κολυμπήσει, άσε  ||που  ||βρωμάει  ||κιόλας.||τί  δουλειά  έχει  ||η  ||επανάσταση  εκεί  που  το  ||χωροχρόνο  ||της  εκδίπλωσής  ||της  ||τον  ||ορίζουν  ||οι  ||εχθροί  της;μέχρι  ||να  ||το  καταλάβει, ίσως  θρηνήσεουμε  κι  άλλους  συντρόφους...||αυτά, φιλικά  και  ||με  όλη  την  επίγνωση  ότι  ||μπορεί  ||να  ||προβαίνω  σε  ||άκυρες  ||διαπιστώσεις  εφόσον  δεν  έχω  ||συμμετάσχει  σε  τέτοιου  είδους  διεργασίες.||για  να  ||πάψουν  ||να  ||υπάρχουν  ||αδικαίωτοι  κάρλο.||από @ 19/12/2007 2:02||μμ.||ενώ στο γενικό ύφος και προτάσεις συμφωνώ||σε όλο ο υπόλοιπο κομμάτι||θεωρώ ότι υποπίπτεις σε άκρως συνομωσιολογικά σενάρια για το τι έγινε σε σημείο τρομολαγνικό.||παρεπιμπτόντως||ο πυροσβεστήρας||που πήγε||να πετάξει πίσω||ουσιαστικά||ο||τζουλιάνι πρώτα||εκσφενδονίστηκε στο πλήθος από τον μπάτσο μέσα από το αστυνομικό τζιπάκι.||από ανέστιος ||παντοτινός 19/12/2007 2:23 μμ....||'ντάξει  δεν  ||θα  ||τα  ""χαλάσουμε""  στον  πυροσβεστήρα, ό,τι  ||κι  ||αν  ||πήγε  ||να  γίνει.||τώρα,  συνομωσιολόγος  να  'σαι  σίγουρος  δεν  είμαι.||μιλάω  για  ||κάτι  ||που  ||ουδείς  ||μπορεί  ||να  ||αμφισβητήσει:ότι  ||οι  ||κρατικοί  ||μηχανισμοί  ||τα  ||κάνουν  ||αυτά - ή  όχι; για  τη  γένοβα  δε  ειδικότερα, έχουν  κατά  καιρούς  δημοσιευτεί  διάφορα  σε  ||σχέση  ||με  ||προβοκατόρικες  ενέργειες.||φαίνεται  πως  εκεί  είχαν  δρομολογηθεί  πολλά  ||από  τους  μπάτσους.||τα  βασικά  είναι  ||τα  υπόλοιπα  ||κι  ||εκεί  γενικά  συμφωνούμε.||από||na bro to 20/12/2007 12:53 πμ."
58,/media/ruben/Data Drive/react-data/protest/carlo-batch/11/11_2/html/493acb7f-037e-4ad7-b980-465117536448.html_https://athens.indymedia.org/topics/24/?page=2,11.0,https://athens.indymedia.org/topics/24/?page=2,493acb7f-037e-4ad7-b980-465117536448,2020-04-24,el,athens.indymedia.org,news," κεντρικήπληροφορίεςπολιτική δημοσίευσηςσυμμετοχήασφάλειασχετικά με το athens imcαναζήτησηειδήσειςεπικοινωνίαircεπίκαιραφωνή των πολιτικών κρατουμένωνκαταλήψεις - αυτοδιαχειριζόμενοι χώροιμετανάστες/τριες - πρόσφυγες - μειονότητεςεργατικάαντιπληροφόρησηπολιτικοί κρατούμενοι λειτουργία και εξέλιξη του indymediaκοινωνική ανυπακοή / αντιστάσεις ραδιοζώνες ανατρ. έκφρασης1431 am ράδιο παράσιταράδιοφράγματαραδιουργία 87.7105 fmράδιο revoltράδιο ψαλίδιδημοσίευση άρθροεκδήλωση γένοβα 2001riots in berlin for carlo giuliani από anarcho ιούλιος 19, 2011 διεθνή νέα last saturday berlin riot police was in battle with people in the district of kreuzberg.θεματικές:  γένοβα 2001  eπεισόδια εγιναν στην γερμανία σε διαδήλωση για την 10η επέτειο από το θάνατο του αντικαπι από μ. μπ ιούλιος 17, 2011 αναδημοσιεύσεις επεισόδια σημειώθηκαν σε κινητοποίηση για να τιμηθεί η 10η επέτειος από το θάνατο του ακτιβιστή κάρλο τζουλιάνιθεματικές:  κρατική καταστολή - κοινωνικός έλεγχος γένοβα 2001  police station in berlin hit by firebombs από anonym ιούλιος 14, 2011 διεθνή νέα a police station in berlin was hit yesterday by firebombs. a slogan in remembrance of carlo giuliani was spraypainted on a wall of the police station.θεματικές:  αλληλεγγύη γένοβα 2001  το εδαδ αθώωνει την ιταλία για τη δολοφονια του τζουλιάνι στη γένοβα το 2001 από autonomen μάρτιος 25, 2011 διεθνή νέα δεν ξεχναμε δεν συγχωρουμεθεματικές:  γένοβα 2001  «αθώοι» ιταλία και αστυνομία για το θάνατο του τζουλιάνι από ... μάρτιος 24, 2011 αναδημοσιεύσεις ...θεματικές:  κρατική καταστολή - κοινωνικός έλεγχος γένοβα 2001  17 μαρτιου 2001,napoli noglobal forum από carlo μάρτιος 17, 2011 διεθνή νέα σαν σημερα,17 μαρτιου 2001 στη ναπολι η συνοδος κορυφης των g7 οργανωνει ενα φορουμ.το κινημα κατα της παγκοσμιοποιησης ταξιδευει σε ιταλικο εδαφος και διοργανωνονται 4 μερες δρασης απο ιταλους και ξενους ακτιβιστες,θεματικές:  γένοβα 2001  20/07/2001 από e vivo! ιούλιος 20, 2010 διεθνή νέα σαν σημερα 17.30 τοπικη ωρα δολοφονηθηκε ο καρλο απο την ντιγκος και το ιταλικο φασιστικο κρατος του μπερλουσκονιθεματικές:  γένοβα 2001  2001 genova g8 από . απρίλιος 12, 2010 διεθνή νέα 2001 genova g8θεματικές:  γένοβα 2001  αυτοάμυνα ο «φόνος» του giuliani στη γένοβα από .... αύγουστος 25, 2009 αναδημοσιεύσεις giulianiθεματικές:  κρατική καταστολή - κοινωνικός έλεγχος γένοβα 2001  mark covell on his treatment at the hands of italian police - genoa g8 2001 από @ ιούλιος 19, 2008 διεθνή νέα mark covell on his treatment at the hands of italian police - genoa g8 2001θεματικές:  κρατική καταστολή - κοινωνικός έλεγχος γένοβα 2001  genova g8 italy 2001: law and disorder - thu 12 jan 2006 από @ ιούλιος 17, 2008 διεθνή νέα genova g8 italy 2001: law and disorder - thu 12 jan 2006θεματικές:  γένοβα 2001  η φασιστική δεξιά εκδικείται στην ιταλία από γ* ιούλιος 16, 2008 αναδημοσιεύσεις αντιπαραθέσεις προκαλεί απόφαση του δικαστηρίου της γένοβας, που εξέδωσε δεκαπέντε καταδικαστικές αποφάσεις για την μεταφορά και προσωρινή κράτηση δεκάδων διαδηλωτών, στο στρατόπεδο του μπολτσανέτο κατά το «g8» του 2001. ο εισαγγελέας είχε ζητήσει, συνολικά, σαρανταπέντε καταδίκες.θεματικές:  κρατική καταστολή - κοινωνικός έλεγχος γένοβα 2001  [g8 genova 2001] de gennaro e g8 2009 - channel4 28 giugno 2007 από acab ιούλιος 16, 2008 διεθνή νέα [g8 genova 2001] de gennaro e g8 2009 - channel4 28 giugno 2007θεματικές:  κρατική καταστολή - κοινωνικός έλεγχος γένοβα 2001  g8 γένοβας: ποινές από 5 μήνες έως 15 χρόνια για 15 αστυνομικούς από α-gnwstos ιούλιος 15, 2008 διεθνή νέα συμφωνα με τα οσα ανεφερε το απογευματινο δελτίο ειδήσεων της ετ3θεματικές:  γένοβα 2001  ο κάρλο ζει , εσείς είστε νεκροί... (βίντεο) από gortynios ιούλιος 1, 2008 βιβλιοθήκη ανεχόμαστε. αδιαμαρτύρητα. υποτελικά. αβουλα. ανεχόμαστε. αυτό είναι το όπλο των εκμαυλιστών μας. οτι ανεχόμαστε. γι' αυτό καθείς που δεν ανέχεται είναι απειλή μεγάλη. γι' αυτό ο τζουλιάνι, και κάθε τζουλιάνι έπρεπε να πεθάνει. και να συνθλιβεί για σιγουριά.οσο πιο πολύ τον πατάτε, τόσο πιο βαθιά …θεματικές:  γένοβα 2001  genua g8 gipfel 2001 - thema @ kanalb.org2 από @ ιούνιος 26, 2008 βιβλιοθήκη genua g8 gipfel 2001 - thema @ kanalb.org2θεματικές:  γένοβα 2001  στο κολαστήριο του μπολζανέτο από logan(gia tin antigrafi) μάιος 10, 2008 διεθνή νέα όταν γίνεται λόγος για τις διαδηλώσεις τής γένοβας, τον ιούλιο του 2001, ενάντια στη συνεδρίαση των ηγετών τής λέσχης των 8, στο µυαλό όλων έρχονται οι σκηνές τής άγριας αστυνοµικής βίας που οδήγησαν στη δολοφονία τού διαδηλωτή κάρλο τζουλιάνι. ωστόσο, µια δίκη που φτάνει αυτή …θεματικές:  κρατική καταστολή - κοινωνικός έλεγχος γένοβα 2001  η ποντικοπαγίδα του μπερλουσκόνι από ange1096 απρίλιος 22, 2008 βιβλιοθήκη βίντεο από τη γένοβα 2001θεματικές:  διεθνείς διαδηλώσεις - παγκοσμιοποίηση γένοβα 2001  carlo giuliani : νεκρός της δημοκρατίας από @ναρχικός δεκέμβριος 19, 2007 βιβλιοθήκη .......θεματικές:  ιστορία - θεωρία γένοβα 2001  γένοβα: σε 110 χρόνια καταδικάστηκαν οι 25 διαδηλωτες από αλληλεγγυη δεκέμβριος 17, 2007 διεθνή νέα με 110 χρόνια φυλακισης έληξαν οι δίκες ενάντια στους διαδηλωτες στη γένοβαθεματικές:  γένοβα 2001  ‹‹123456›› θεματικές ενότητεςhacktivism / τεχνοπολιτικήαγροτικάαδιευκρίνιστοαλληλεγγύηαμερικήαντι-oλυμπιακό πνεύμααντικαταναλωτισμός / αντιεμπορευματοποίησηαντιπληροφόρησηαντιρρησίες - ανυπότακτοι - στρατευμένοιαντιφασισμός / αντιεθνικισμός / αντιρατσισμόςρατσιστική - φυλετική βίαασίααφρικήβαλκάνιαβόρεια αμερικήεγχειρήματα αυτοοργάνωσηςεθνικοαπελευθερωτικά/αυτονομιστικά κινήματαχώρα των βάσκωνεκδηλώσεις/party οικονομικής ενίσχυσηςσυζητήσεις / συνελεύσειςεκλογέςεκπαίδευσηzητήματα ασύλουεργατικάεργατικοί θάνατοι / ""ατυχήματα""ευρώπηουκρανίαρωσίατουρκίαζητήματα ευρωπαϊκής ενωσηςζητήματα θρησκείαςζητήματα φύλου και σεξουαλικής ταυτότηταςιμπεριαλιστικές επεμβάσεις - αντιπολεμικό κίνημααφγανιστάνιράκιστορία - θεωρίααναρχίαισπανία 1936-1939μαρξισμός-λενινισμόςκαταλήψεις - αυτοδιαχειριζόμενοι χώροικοινωνική αλληλεγγύη / απαλλοτριώσειςκοινωνική ανυπακοή / αντιστάσειςενοίκια-εξώσεις-airbnbηλεκτρισμός - νερόκατασχέσεις σπιτιώνμετακινήσειςπορείες / συγκεντρώσεις / μικροφωνικέςτροφήκουρδικό ζήτημακρατική καταστολή - κοινωνικός έλεγχοςδίκεςεξέγερση δεκέμβρης 2008ηλεκτρονική επιτήρησηκοινωνικός κανιβαλισμόςπολιτικοί κρατούμενοιφυλακέςφωνή των πολιτικών κρατουμένωνκύπροςλατινική αμερικήαϊτήαργεντινήβενεζουέλαβολιβίαβραζιλίακολομβίακούβαμεξικό / ζαπατίσταςχιλήλειτουργία και εξέλιξη του indymediaμέσα μαζικής ενημέρωσηςμέση ανατολήαίγυπτοςλίβανοςπαλαιστίνησυρίατυνησίαμετανάστες/τριες - πρόσφυγες - μειονότητεςκίνημα no borderοικονομίαπεριβάλλον / οικολογίαβιολογικά / μεταλλαγμέναδικαιώματα ζώων /απελευθέρωση των ζώωνδράσεις ενάντια στις κεραίεςκαταστροφή δασώνκινητοποιήσεις ενάντια σε χυταοικοαναρχικά κινήματα (elf-alf)ολική απελευθέρωση ζώων και γήςτοπικές περιβαλλοντικές δράσειςπόλη - δημόσιοι/ελεύθεροι χώροιπολιτική βία/αντι-βίαεπαναστατικός αγώναςοργάνωση 17νοργάνωση επαναστατικός λαικός αγώναςσυνωμοσία πυρήνων της φωτιάςπολιτική γελοιογραφία / πολιτικό κόμιξπολιτισμόςdiy μουσικήdiy τέχνηπολυτεχνείουγείαπανδημία covid-19ψυχική υγείαψυχοτρόπες ουσίες*** ανενεργές θεματικές ***διεθνείς διαδηλώσεις - παγκοσμιοποίησηεκπαίδευσηεργατικάκρατική καταστολή - κοινωνικός έλεγχοςπεριβάλλον / οικολογία όλα τα περιεχόμενα αυτού του δικτυακού τόπου είναι ελεύθερα προς αντιγραφή, διανομή, προβολή και μεταποίηση, αρκεί να συνεχίσουν να διατίθενται, αυτά και τα παράγωγα έργα που πιθανώς προκύψουν, εξίσου ελεύθερα, υπό τους όρους της άδειας χρήσης creative commons attribution-sharealike 4.0 international license global imc network www.indymedia.orgαφρική ambazoniacanariasestrecho / madiaqkenyasouth africaκαναδάς london, ontariomaritimesquebecανατολική ασία japanmanilaqcsaint-petersburgευρώπη abruzzoalacantantwerpenathensaustriabarcelonabelarusbelgiumbristolbrusselsbulgariacalabriëcyprusemilia-romagnaestrecho / madiaqeuskal herriagalizaduitslandgrenoblehungaryirelandistanbulitalyla planaliegeligurialillelinksuntenlombardialondonmadridmaltamarseillenantesnapolinetherlandsnorthern englandnorwaynottinghamoost-vlaanderenparis/île-de-francepiemontepolandportugalromaroemeniërussiascotlandsverigeswitzerlandtoruntoscanaukraineuk-gbλατινική αμερική argentinaboliviachiapaschile surbrasziliësucrecolombiaecuadormexicoperupuerto ricoqollasuyurosariosantiagouruguayvalparaisovenezuelaωκεανία aotearoamanilamelbourneperthqcsydneyνότια ασία indiaηνωμένες πολιτείες h.π.αarizonaatlantaaustinbaltimorebig muddybinghamtonbuffalocharlottesvillechicagoclevelandcoloradocolumbusdchawaiihoustonhudson mohawklamadisonmichiganmilwaukeeminneapolis/st. paulnew mexiconew orleansnycphiladelphiapittsburghportlandrichmondrochesterrogue valleysan diegosan francisco bay areasanta cruz, casarasotaseattleurbana-champaignworcesterδυτική ασία beirutisraelpalestineprocess fbi/legal updatesmailing listsprocess & imc docsprojects printradiovideoθεματικές biotech "
67,/media/ruben/Data Drive/react-data/protest/carlo-batch/11/11_2/html/8f5fdf6f-f66a-451d-b7b4-0d182a47d852.html_https://athens.indymedia.org/post/617670/,11.0,https://athens.indymedia.org/post/617670/,8f5fdf6f-f66a-451d-b7b4-0d182a47d852,2006-06-12,el,athens.indymedia.org,news,"από giuliani γράφεται 06/12/2006 8:05||μμ.||ο άνθρωπος δεν είχε ιστορία, απλά σκοτώθηκε.||από kapoios 06/12/2006||8:09 μμ.||den einai||oti variemai ligo pou koitaksa de vrhka kati||sta ellhnika kai den exw polu xrono gia na psaxnw..||an mporei kapoios pou kserei...||από googler 06/12/2006 8:33||μμ.||από anonymous 06/12/2006 8:44 μμ.||εαν εψαχνες ελαχιστα θα εβρισκες δεκαδες πληροφοριες.||τι ακριβως θελεις να μαθεις? ||γενοβα 2001,διαδηλωσεις εναντια στη||συνοδο των g8 και συγκρουσεις με την αστυνομια την δευτερη μερα των διαδηλωσεων (ημερα ανυπακοης).||εκει κατα||την διαρκεια των συγκρουσεων στη piazza alimonda διαδηλωτες||θα επιτεθουν σε||τζιπ||των μπατσων και ενας μπατσος θα βγαλει το οπλο για να||<||<αμυνθει>||> μεσα||απο το αμαξι και θα δολοφονησει το carlo||με μια σφαιρα στο κεφαλι ενω αμεσως μετα θα||περασουν||με το τζιπ||απο πανω του... ||ψαξε και λιγο μονο σου δεν κανει κακο... ||http://www.infoshop.org/news6/genoa.html http://www.carlo-giuliani.com/||http://www.geocities.com/a_books2002/gr/brogenov.htm ||--------||στη δευτερη φωτο φαινεται ο carlo σε συγκρουσεις σε αλλο σημειο της πολης,λιγο αργοτερα θα δολοφονηθει.||από .......||06/12/2006 9:37 μμ.||http://www.myspace.com/carloforever ||freedom rise up for me! ||carlo giuliani, a 23-year-old italian activist and anarchist, died during the demonstrations against the group of eight summit that was held in genoa from july 19 to july 21, 2001. ||giuliani was killed on july 20, during a violent clash between protestors and italian carabinieri.||a carabinieri vehicle became stuck and some protesters (wielding metal poles and wooden boards) attempted either to break the windows, to force their way inside, or to injure the occupants.||in the midst of this clash, carlo giuliani, who was wearing a black ski mask, picked up a fire extinguisher and, apparently intending to throw it at the officers inside the police jeep, was shot in the face by one of the officers.||giuliani fell to the ground as the driver reversed the vehicle, driving over giuliani's body. ||carlo giuliani was wearing his swim trunks under his sweatpants when he left home in genoa, italy, around noon on july 20, 2001.||he still hadn’t decided whether he’d spend the day at the beach with a friend or take part in the anti-globalization protest outside the g8 summit in genoa that day.||by 5:20 that afternoon carlo was dead, shot in the head by a policeman, who twice ran him over with his jeep and then left him to die in the street. ||if there are about 193 nations in the world,||what’s “democratic” about 4% of that number making all of the rules governing the rest of the world’s economy? ||carlo giuliani wasn’t “assaulting the democratic process.”||he was protesting a profoundly anti-democractic process.||he was fighting on behalf of most of the people in the world."
