an,ca,cs,cy,da,de,el,en,es,fr,hr,it,ja,ko,nl,pl,pt,ru,sl,sq,tr,zh,other
3.0,1.0,0.0,1.0,3.0,6.0,6.0,9.0,9.0,1.0,2.0,14.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,4.0,1.0,0.0,5.0
2.0,1.0,2.0,3.0,1.0,1.0,5.0,4.0,14.0,3.0,3.0,36.0,0.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0
1.0,1.0,3.0,1.0,1.0,5.0,4.0,20.0,25.0,2.0,3.0,39.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,15.0
4.0,1.0,3.0,7.0,1.0,5.0,23.0,63.0,14.0,9.0,3.0,103.0,0.0,1.0,4.0,4.0,2.0,0.0,0.0,0.0,7.0,0.0,12.0
0.0,1.0,0.0,1.0,0.0,0.0,2.0,9.0,2.0,3.0,1.0,23.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
4.0,0.0,0.0,1.0,3.0,2.0,1.0,7.0,3.0,6.0,1.0,11.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0
0.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,4.0,1.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,4.0,1.0,2.0,7.0,46.0,6.0,3.0,2.0,62.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,6.0,0.0,9.0
6.0,4.0,2.0,5.0,5.0,11.0,20.0,55.0,38.0,50.0,5.0,85.0,0.0,5.0,7.0,5.0,8.0,13.0,0.0,4.0,11.0,11.0,28.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,31.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,0.0,1.0,2.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,1.0,1.0,1.0,26.0,9.0,1.0,4.0,45.0,0.0,1.0,7.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0
1.0,0.0,1.0,3.0,1.0,1.0,2.0,9.0,21.0,3.0,3.0,44.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0
1.0,0.0,0.0,1.0,2.0,9.0,5.0,123.0,19.0,16.0,5.0,50.0,41.0,0.0,3.0,4.0,7.0,4.0,2.0,1.0,1.0,17.0,12.0
13.0,2.0,12.0,14.0,4.0,19.0,4.0,67.0,61.0,5.0,11.0,270.0,1.0,5.0,21.0,7.0,12.0,14.0,3.0,2.0,7.0,0.0,17.0
0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,0.0,0.0,2.0,1.0,4.0,2.0,24.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0
11.0,0.0,1.0,5.0,1.0,3.0,5.0,43.0,20.0,1.0,6.0,60.0,0.0,0.0,6.0,5.0,1.0,0.0,3.0,2.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,2.0
11.0,7.0,1.0,20.0,2.0,13.0,21.0,120.0,39.0,21.0,6.0,423.0,0.0,4.0,12.0,7.0,8.0,2.0,6.0,8.0,10.0,0.0,35.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,6.0,1.0,3.0,32.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
