source,target,weight
12,13,34
13,22,3
11,21,30
18,21,2
7,8,21
14,2,155
17,2,4
21,24,12
21,25,19
24,7,12
25,7,29
2,3,6
16,27,2
21,8,16
18,3,12
11,2,5
12,17,6
14,18,2
14,21,34
2,21,6
12,3,8
13,21,38
12,14,27
2,7,157
13,7,61
25,3,9
12,27,2
3,60,8
13,17,5
12,60,5
3,8,7
19,8,2
21,3,7
16,3,2
17,19,2
14,22,4
19,7,2
11,8,6
13,9,3
14,24,7
14,25,26
2,9,2
19,21,2
11,7,33
11,19,2
2,59,3
11,3,7
12,24,12
12,25,12
12,16,3
3,4,2
28,3,6
12,2,8
11,12,20
3,7,27
14,60,5
13,60,10
16,17,4
2,60,4
11,28,5
22,25,2
25,27,3
12,8,17
16,25,3
12,22,3
17,3,4
60,8,5
21,59,4
21,22,6
13,2,8
60,7,14
13,16,2
24,60,3
13,27,4
13,24,11
13,25,27
14,9,3
18,7,2
14,27,4
17,21,11
13,28,2
14,16,3
2,28,3
24,8,4
25,8,9
11,17,7
16,21,6
14,17,5
14,59,3
24,25,2
22,9,3
11,16,4
21,7,50
27,28,4
18,27,2
11,27,3
25,28,2
11,13,27
11,9,4
13,8,19
59,7,3
16,2,2
17,60,2
7,9,7
13,19,2
13,3,14
21,9,5
22,7,6
16,7,6
17,27,2
14,28,9
17,22,3
17,8,2
11,60,2
12,18,2
17,24,2
11,14,23
12,9,4
14,3,16
12,7,41
17,28,4
12,21,28
17,7,9
14,7,213
27,3,44
11,24,9
11,25,14
17,9,5
14,8,11
11,22,6
13,14,45
12,19,2
21,60,6
28,7,7
21,27,2
27,7,6
21,28,4
