source,target,weight
25,7,28
2,28,3
28,3,6
13,3,14
21,22,6
24,60,3
2,21,6
17,2,4
27,3,44
12,21,28
12,7,33
22,7,5
21,9,5
24,25,2
17,28,4
13,24,11
11,21,30
11,7,28
11,14,18
19,8,2
14,27,3
18,21,2
21,59,4
12,17,6
14,28,6
13,22,3
12,14,19
11,28,5
17,24,2
13,9,3
11,17,7
21,28,4
7,9,5
13,25,27
21,24,12
17,60,2
11,9,4
16,2,2
17,22,3
25,27,3
12,9,4
17,9,5
11,13,27
19,21,2
13,28,2
11,24,9
2,59,3
11,8,6
12,13,34
16,27,2
21,27,2
12,24,12
28,7,4
12,8,17
13,7,53
11,19,2
17,8,2
11,3,7
13,17,5
12,19,2
16,21,6
12,3,8
12,22,3
11,12,20
13,60,10
16,3,2
22,9,3
11,22,6
12,25,12
16,17,4
17,27,2
3,8,7
11,60,2
2,60,4
11,25,14
21,8,16
12,60,5
7,8,21
12,16,3
24,7,11
17,3,4
22,25,2
21,7,44
17,7,5
17,19,2
14,8,11
11,16,4
12,2,8
25,8,9
17,21,11
13,8,19
11,2,5
16,25,3
14,25,25
60,7,10
21,3,7
13,14,37
21,60,6
60,8,5
13,2,8
18,27,2
14,22,3
3,7,21
14,3,10
25,28,2
13,16,2
18,3,12
27,7,5
13,19,2
13,27,4
24,8,4
19,7,2
3,60,8
14,24,6
16,7,4
2,9,2
3,4,2
25,3,9
27,28,4
12,27,2
12,18,2
2,3,6
13,21,38
11,27,3
21,25,19
14,7,58
14,21,28
