w,s,ntarget,ntogether
,-4.605170185988091,1401,2313
perch,-4.607635266770707,79,91
ultimi,-3.6556953794729363,173,29
interno,-4.299274891612801,47,27
oggi,-4.4382737664194565,582,72
caso,-3.712493912789333,348,68
sinistra,-4.1116762777180025,256,38
civil,-3.8805645567546154,28,54
tante,-3.9224342780794736,80,116
passamontagna,-2.73657445703039,94,55
17,-3.7669508993400687,114,73
CARLO,-1.7603010205545246,2313,2313
reso,-3.970666391451802,56,42
armi,-4.437400975615634,173,35
minuti,-3.6669904564565563,151,26
ferita,-3.084353072797194,67,29
alto,-3.937574811471395,106,45
occhi,-4.92436860892773,124,27
dio,-4.293719321768198,55,114
part,-4.262322281060811,32,280
tempo,-4.589752604688849,466,47
tali,-4.275884922589572,74,214
altri,-4.618237502697536,638,47
die,-4.022215073817643,116,138
para,-3.632489670890878,61,199
italiana,-3.7568549024285924,166,44
mare,-4.675271937464057,59,29
processo,-3.8758475668764767,240,34
200,-3.3846560196918625,46,346
figlio,-3.365958210148719,192,53
gente,-4.518361642231396,194,39
une,-4.499945587074952,126,54
ferma,-4.257231863309326,45,62
alcuni,-4.646032398894187,632,36
shot,-3.0259673938858005,58,33
urbisaglia,-2.962780172623677,121,67
use,-4.121155021672546,125,65
essa,-4.717128320577917,63,76
corso,-4.033729529257115,317,87
rifondazione,-2.8842311172069244,71,26
fine,-4.631483997799821,347,38
body,-2.6438019296056887,48,31
verità,-3.8339116419235673,228,43
one,-4.4722487767020445,86,717
fatti,-3.981917051014903,526,99
του,-3.2760064553259176,122,38
san,-4.523263264604692,221,137
post,-4.156521718582563,188,163
cia,-4.338507799218825,49,415
ricordare,-3.2750737064475466,132,31
fin,-4.757421219383364,118,144
pubblica,-3.970264623668174,195,78
ancona,-2.5110773139511062,70,59
atto,-4.3367748638680155,155,146
nato,-4.209167733859328,80,113
capi,-5.0561378865588535,49,28
sentenza,-3.385612282144915,216,50
perso,-4.77751150341688,77,76
which,-3.9657223650949227,231,27
aver,-4.117038220859388,491,124
lega,-4.277997493165516,55,65
ce,-4.47729135241947,178,876
anniversario,-2.604021059593844,40,40
italia,-4.246651713914758,310,173
prese,-4.3958849184039135,52,103
corteo,-4.131094363575103,296,34
nera,-4.954591369950111,25,28
les,-4.569085668925779,242,78
25,-4.025844841868222,143,33
inoltre,-3.767171869399525,112,25
pochi,-4.251361535916903,294,27
ove,-4.345190113696634,45,275
famiglia,-3.1759229967689353,250,84
don,-4.909246766744399,56,61
chiara,-4.56028871698242,39,27
manifestanti,-4.023665400395289,504,78
torna,-4.138724189940075,55,33
mentre,-3.944622193054836,678,78
sasso,-2.825011757546953,88,50
bel,-4.800349177883026,83,32
mit,-4.1948373109535755,29,95
uomo,-3.955426961233823,133,53
polizia,-4.126042464459189,1358,181
così,-4.473466322323505,637,52
mira,-3.691450754026717,44,39
corte,-3.8729355295901247,352,100
eroe,-3.0432170272205803,39,28
carabinieri,-3.755839673914998,742,146
messo,-4.449508133855255,135,25
stesso,-4.170801502271877,407,43
bloc,-4.395951191848169,93,42
immagini,-3.2237311105566424,188,53
pubblico,-3.975503610186152,338,49
death,-2.5393906309151943,64,39
vicino,-3.0571887939588303,125,38
ancora,-4.076679435680906,1006,108
not,-3.9834842261468832,358,169
posto,-4.393703292686438,207,38
occasione,-3.706211169609838,142,27
me,-4.490626106771248,418,1175
sparare,-3.3435936528843024,109,31
colpi,-3.713418408014787,151,79
tesi,-3.8151367514321604,80,36
quali,-4.525285143409087,394,33
otto,-4.380050538564858,92,127
detto,-4.287767284761321,365,46
qua,-4.528098873118564,79,340
jeep,-3.320141991849253,190,62
arriva,-4.37260616469835,132,46
sola,-4.255158001195693,72,25
presidente,-4.3030272412313515,302,28
già,-4.096638400353462,659,67
civile,-3.7027207646700693,171,41
preso,-3.7492285546935284,169,39
organi,-4.634018343545552,51,37
difesa,-3.2954410092719804,229,81
aria,-4.778847971874686,49,52
fondazione,-3.4650491127929497,56,26
madre,-3.216465061634901,134,38
distanza,-3.3650769198828137,153,43
media,-4.262419799223646,120,48
senza,-4.427186232792524,906,81
ancor,-4.102980570750448,41,110
tenta,-3.906881865071989,45,54
dimostra,-4.045494370836701,46,29
legittima,-3.071904489072826,168,66
fronte,-3.483592690505119,312,68
scontri,-2.9860138115168664,259,91
genova,-3.3992697557670932,1056,347
sparo,-3.0130639890498925,49,28
posta,-4.46501232039122,49,40
atti,-4.415873284408118,133,163
diego,-2.5368298100535207,86,46
manifestante,-2.829499424016341,122,69
present,-4.2812563861101225,28,84
tanti,-4.199077898615023,177,122
15,-4.241655268738157,173,47
legge,-4.752903401099588,319,32
te,-4.457418460433942,84,1588
volte,-4.0553578471277785,267,40
omicidio,-3.146595381674415,96,64
azione,-4.528654809461744,57,281
been,-3.790838755244191,418,55
fuoco,-3.8154104615748294,124,26
azioni,-4.641171519326549,88,94
forse,-4.465680993100856,327,25
lascia,-4.158196293352895,57,43
estintore,-2.5606170355290794,214,221
alcun,-4.497628571602585,107,92
uso,-4.023220857156138,158,54
viene,-4.61964066920296,562,40
giovani,-4.297393423513095,233,28
stati,-5.021996842605653,611,32
more,-4.23963662529307,70,30
nessuno,-4.492742674780894,323,27
los,-4.117945890731598,115,53
est,-4.249209415569741,106,956
conti,-4.759436587240224,46,44
prima,-4.395382201790143,1041,90
ieri,-3.9892151088477266,158,176
avanti,-4.013783400540838,132,48
fino,-4.856783197208658,438,25
vero,-4.337989403793491,184,48
male,-4.1067379960774195,79,29
europea,-3.5638949474295822,212,42
oltre,-4.455870560433126,394,43
colpo,-2.9739826390074215,228,82
the,-4.1801134392712305,1661,160
und,-3.939731534090276,98,63
parla,-4.59581851309559,149,51
qualche,-4.61044797714018,531,31
mano,-3.638434558739677,271,109
spara,-3.150135208379539,41,141
momento,-4.418089386875846,380,34
giovane,-3.1141601059212616,308,94
far,-4.910183973935774,340,72
via,-4.313475641471528,718,138
verso,-4.219046844303853,483,71
insieme,-3.884194324805194,309,44
that,-3.8457485862945724,652,83
persone,-4.723063274870945,522,37
dato,-4.4017364725747505,231,60
10,-4.215531902196409,170,57
see,-4.066582975429896,42,27
nessun,-4.4667996309653155,130,43
bene,-4.432806284237324,300,42
mostra,-3.8095287836378637,72,63
volto,-3.7829260871907,131,43
into,-3.161088388976982,48,274
mai,-4.553989106818552,633,85
anno,-4.55833343148088,204,211
stazione,-3.939942727332877,75,51
quattro,-4.634074887041652,239,27
case,-4.181838056409935,107,38
dire,-4.473217411307908,336,82
vita,-4.010308297468663,585,123
gestione,-3.2956309608349033,117,28
raccoglie,-2.604021059593844,38,40
20,-3.6497998471593336,559,461
dico,-4.1607903285299415,71,35
volta,-4.557582355384677,450,45
chiede,-3.8148825249149656,126,56
blu,-3.220703353828137,37,26
sente,-3.6821136180307774,45,90
senato,-3.2708930983519924,70,34
afferma,-3.921157953719869,68,28
dare,-4.238776780012235,181,65
scuola,-4.421283710798749,334,29
rendere,-4.05496004827615,50,38
terra,-3.73315580485329,213,68
scritto,-3.6970508002111737,180,47
are,-4.579345749763388,77,577
maggio,-4.312030166587927,119,41
den,-4.212177144666043,47,277
proiettile,-2.6104519499241348,92,50
sì,-4.557582355384677,92,60
pistola,-3.126959407157556,232,90
avvicina,-3.498950664468631,30,29
global,-3.506598115705822,102,75
ben,-4.584359078023786,298,71
responsabili,-3.785408211271031,114,52
solo,-4.384422566752181,1340,106
vie,-4.49589627721243,85,74
cosa,-4.6950259460004915,652,49
forma,-5.168371281504442,124,29
qui,-4.57138344755497,496,129
scrive,-4.167246128872813,117,30
giornali,-4.475468689425599,57,28
servizio,-3.5880709273056124,261,50
vice,-3.917034236536007,59,56
son,-4.747978553548006,73,268
pas,-4.201760350583588,58,147
secondo,-3.909701150841271,563,69
gruppo,-4.135835113194738,347,37
giorno,-4.003335133922038,464,64
proprio,-4.164340705925236,630,59
persona,-4.9032635310912,191,29
sin,-4.2882912564788365,64,159
mancherai,-1.784993633144896,35,40
bolzaneto,-4.027657421664826,110,26
disordini,-2.690776387420636,58,28
accusa,-3.9439660681051114,52,33
corpo,-3.256491052497633,353,99
for,-4.746720400498491,304,178
pensa,-4.419824180762074,52,38
guardavo,-1.8895127520345307,33,29
causa,-3.580633862226635,195,46
essere,-4.487016515876094,1319,92
gran,-4.994666022465186,145,41
par,-4.204795391629189,112,627
ordine,-3.8535358843666963,137,54
ora,-4.412190790239667,350,271
ragazzo,-3.148487529826453,366,132
invece,-4.557963380346422,414,32
casi,-4.096462409082174,118,41
padre,-3.4389833451636087,224,53
presenta,-4.144231753002523,37,59
social,-4.6402830746015535,130,43
morte,-2.6510372300392127,651,325
cari,-4.445878365804676,34,60
arma,-3.978610716377815,66,73
memoria,-3.45341140871274,209,55
portato,-4.050813532314301,163,25
agente,-3.3407513961153725,73,28
with,-4.245207670342525,288,30
familiari,-2.8412137321232334,91,38
dem,-4.289857944080263,36,73
nove,-3.8737327624629123,45,47
ricorso,-3.0512852018700904,109,33
passa,-3.823252200334945,87,107
meno,-4.979176845422725,306,35
esso,-4.391528102043479,40,174
coetaneo,-2.0924348555771393,40,33
sempre,-4.801643805360568,854,45
dentro,-3.3990911450011523,224,47
tute,-4.2815753145133995,112,27
lancia,-3.4315563640118354,47,69
mila,-4.507171213506317,51,32
avere,-4.100408552871659,288,34
vede,-4.216497564460093,146,53
der,-4.1528040604903245,102,355
nome,-3.934469821590818,211,39
dos,-3.9728783069803293,31,79
por,-4.410760982267595,127,218
teste,-3.5959546833398046,39,26
modo,-4.730715486124225,424,26
que,-4.325250378016062,277,695
fa,-4.269347376705527,750,706
inizia,-4.6791522497725575,70,25
nota,-3.8805645567546154,84,30
violenza,-4.2671865770613,276,30
vista,-3.928211210221969,160,50
comunista,-3.4221854083611674,74,26
state,-4.4009443933254175,379,45
trova,-4.353386790644728,179,62
sparato,-2.8735121086437867,153,68
punta,-3.843641202650018,51,32
circa,-3.7862538772833743,240,36
lug,-3.293541419386626,34,199
