w,s,ntarget,ntogether
,-4.4620693423474185,1401,338
dio,-3.7054656217521185,55,26
alcuni,-2.695378657957652,632,37
cia,-3.7430511869086875,49,97
fin,-3.9538321505008853,118,36
polizia,-2.6137929861945493,1358,114
carabinieri,-3.4839870186997106,742,26
me,-4.1939770560792935,418,191
otto,-3.6633966985486435,92,34
aria,-3.511000057703365,49,26
genova,-3.891352564480386,1056,27
atti,-3.9754508058222355,133,34
tanti,-3.5534836519836985,177,28
azione,-3.9396896188429,57,59
azioni,-3.650293622203908,88,30
alcun,-3.1643367491788794,107,48
entro,-3.04041789213834,45,25
ieri,-3.4752442214438957,158,34
agenti,0.16295374619389583,338,338
anno,-4.0951165000979,204,45
scuola,-2.309976712547389,334,32
qui,-4.212104219163892,496,26
bolzaneto,-1.995203362951414,110,26
fa,-4.205227481657933,750,94
mente,-3.8344537992386054,72,63
due,-3.6283130580984504,1288,28
and,-4.228966962125185,1003,76
ore,-4.333739963458112,350,44
tre,-3.6341020229331518,446,71
egli,-2.8820861559653945,59,77
no,-4.228783650555806,455,261
essi,-3.2802078345672916,57,56
mani,-3.536288494955587,156,51
stato,-3.733293296640083,1732,36
parte,-3.7723261213985175,1096,25
condanna,-2.439735939250488,178,30
poi,-3.5265505126888823,1194,37
diaz,-2.528747316906785,331,29
