w,s,ntarget,ntogether
,-4.335461947264842,1401,407
tante,-3.3831889309075804,80,31
CARLO,-2.5168407779504895,2313,162
dio,-3.5788582266695417,55,34
part,-4.26780410933059,32,38
tali,-4.320854522366469,74,30
one,-4.209970712688622,86,129
cia,-4.075421951060139,49,67
fin,-4.40622810371441,118,34
atto,-3.593909962223233,155,46
aver,-3.3496847079655216,491,32
italia,-4.228468627138547,310,27
manifestanti,-3.2416893686338812,504,25
mentre,-2.9803246044994736,678,31
not,-3.941908259795966,358,26
me,-4.155735368448231,418,228
colpi,-2.3380455984604933,151,39
otto,-3.5949298501239784,92,40
difesa,-1.732894981979468,229,63
legittima,-1.3969373692653158,168,60
genova,-3.2070419657209386,1056,66
tanti,-3.6020498204297895,177,34
estintore,-1.5865632720283525,214,58
prima,-3.825499885156361,1041,25
ieri,-3.8112937144528094,158,36
colpo,-2.0878663479934167,228,32
mano,-3.1265590613802496,271,26
spara,-1.8396190449198229,41,79
giovane,-2.3090494987581964,308,34
via,-4.006734288373408,718,26
into,-2.327198817263874,48,65
anno,-4.388514454249841,204,35
vita,-3.501486237596126,585,28
are,-4.11829617449818,77,128
pistola,-1.7303985173393053,232,59
qui,-4.1972008136613175,496,27
for,-4.553430314275347,304,32
ora,-4.233770866495974,350,41
ragazzo,-2.6049225215100433,366,34
morte,-2.7083908890158317,651,48
arma,-2.660381669829471,66,44
por,-4.502420506778426,127,27
que,-4.025729272891429,277,131
fa,-3.90408933156917,750,116
trova,-3.4108291887257716,179,25
sparato,-1.5488698472607296,153,38
punta,-2.3530138037926993,51,25
lug,-3.111689149038906,34,38
2001,-2.852691698515758,445,49
ucciso,-1.8751976348101702,311,52
mente,-3.9838534450273064,72,70
so,-4.067838791604157,194,239
due,-3.7244681893683396,1288,31
foto,-2.6262909409483135,261,37
and,-3.964817381405762,1003,118
ore,-3.34393392361345,350,112
tre,-3.8921899744723536,446,68
fatto,-3.6999577416611955,998,25
mario,-0.9303705956710809,297,130
carabiniere,-0.02281354376568026,407,407
alimonda,-2.448599070545883,236,41
no,-4.1952858685297425,455,300
dopo,-3.358705827020069,1409,42
piazza,-3.011743069996919,971,51
altro,-3.3087981133269975,402,32
quel,-3.748932110950634,821,66
luglio,-3.085485299994781,696,35
mani,-3.327763977405124,156,75
sparò,-0.4282786518738448,49,32
stato,-3.6205675980436625,1732,48
g8,-2.7842516182859516,725,57
defender,-2.391888378028559,237,32
anni,-3.8674297208625097,1373,42
poi,-3.9999998751002397,1194,25
placanica,-1.1751701084404809,303,155
durante,-2.8466245351435058,727,40
