w,s,ntarget,ntogether
,-4.235374154086662,1401,742
perch,-4.267971287519191,79,26
oggi,-3.9144268202418067,582,30
tante,-3.8014034318384113,80,27
compagni,-2.6426872191005963,94,30
17,-3.4547230186246747,114,29
CARLO,-3.3860436420135684,2313,89
dio,-3.782092486925324,55,46
part,-3.6664102643592393,32,99
militari,-2.8592433199858394,206,25
tali,-4.51592547198309,74,37
altri,-3.776085623854122,638,26
200,-3.8894507562945617,46,44
ferma,-3.663895890834249,45,27
alcuni,-3.2639585217971434,632,29
use,-3.724603668018978,125,26
essa,-4.060762640090131,63,38
corso,-3.4308605961233143,317,39
one,-3.8011256154732407,86,320
san,-3.9495839446791656,221,60
post,-3.7566116736356747,188,51
cia,-3.6730068386859274,49,183
fin,-4.046988317625302,118,61
atto,-4.105892622606573,155,47
nato,-3.8677785007832837,80,41
compagnia,-1.733390585982198,80,29
perso,-3.6538053111028423,77,66
aver,-3.908548069289739,491,37
ce,-3.982307981295154,178,337
prese,-3.688969868178525,52,52
corteo,-2.4429660252214873,296,43
les,-4.125281430421666,242,25
ove,-3.7130220039426027,45,126
manifestanti,-2.7001280257508182,504,62
mentre,-3.252356595252223,678,30
polizia,-3.0938378758541942,1358,115
corte,-3.0370892033099874,352,57
resta,-2.9964079511418973,121,58
carabinieri,-0.6233496014904658,742,742
bloc,-2.679181277531168,93,51
ancora,-4.125351682274586,1006,25
not,-3.510523403351314,358,60
posto,-3.2567518736223793,207,26
me,-4.051086267053592,418,395
colpi,-3.161725207499489,151,33
otto,-4.175263200531244,92,32
gas,-2.5781486979630253,79,28
qua,-3.994346397951511,79,131
jeep,-2.0476450807889703,190,58
senza,-4.0470978086745175,906,29
ancor,-4.082990579022696,41,28
genova,-3.794155003113583,1056,56
atti,-3.9906454314769397,133,56
present,-3.663098760461231,28,38
tanti,-3.165667158491805,177,70
15,-3.5208642468990106,173,28
te,-3.9728929881532733,84,585
azione,-3.8883945032287714,57,124
been,-2.7099768028311764,418,44
azioni,-4.263325248614233,88,34
estintore,-2.7442908740770546,214,31
alcun,-3.7080784596919294,107,41
stati,-3.522139929852226,611,29
est,-3.7327926441019184,106,351
prima,-4.020570834772982,1041,30
ieri,-1.0436024097530094,158,742
avanti,-3.221672467768509,132,29
the,-3.1910821502837945,1661,112
mano,-3.2808080164766156,271,38
spara,-3.2242740614102807,41,26
carica,-2.617431294219145,160,41
far,-4.098654955306343,340,33
via,-3.3162861647826274,718,81
verso,-3.5161339057920142,483,38
that,-3.277490173317053,652,40
persone,-3.7312938656513848,522,30
dato,-3.002420789043201,231,54
mostra,-3.0315224570470765,72,29
into,-3.20644827745768,48,48
mai,-3.6549963248538435,633,35
anno,-3.685643810660504,204,135
stazione,-3.300829736507998,75,29
poliziotti,-2.7945986924234245,352,34
case,-3.0989538586161527,107,29
are,-4.070136814233854,77,227
carcere,-2.488134205733411,142,30
responsabili,-3.165713306303253,114,27
vie,-3.519875224961009,85,36
forma,-3.8723551678106958,124,26
qui,-4.1511097064610505,496,42
blindato,-1.2294854050607815,42,25
son,-3.859679863029993,73,148
pas,-3.9443676541249544,58,37
persona,-3.607247417397454,191,28
sin,-4.045856769739372,64,48
corpo,-3.0257800294542276,353,32
for,-3.649888975223858,304,132
essere,-4.23426751413469,1319,26
par,-3.881169399507414,112,172
ora,-4.19522696493109,350,75
morte,-3.5843389266005836,651,27
cari,-2.8814829319136774,34,67
arma,-2.413619867167053,66,67
with,-2.954105571451208,288,31
passa,-3.621459997449424,87,26
esso,-3.838921003690566,40,75
tute,-2.9141002368375086,112,28
lancia,-2.61668844411689,47,34
der,-3.574764451859894,102,135
por,-4.276277991318743,127,58
que,-4.03511731801139,277,181
fa,-4.005035838794891,750,205
provincia,-2.3940556615206883,57,29
state,-3.4597375513874544,379,31
trova,-3.392326038044333,179,39
rese,-3.6665665559997582,31,56
lug,-3.3390209608737482,34,42
2001,-3.5948782733035705,445,32
mente,-3.9400324863615785,72,102
dati,-3.0067867911136066,80,27
so,-3.954956704395378,194,405
des,-4.06413745042363,210,39
tale,-3.7050243048451814,216,28
due,-3.109667684116874,1288,83
foto,-3.051622909648008,261,30
and,-3.5791041186494823,1003,270
ore,-3.539004873230071,350,169
tre,-3.6652665140296,446,126
egli,-4.2983577825881705,59,38
camionetta,-1.7518148533082565,125,36
fatto,-4.03812953491849,998,31
stata,-3.5949843234653964,663,31
opera,-3.031024903342476,84,58
metri,-2.8684302000043203,193,25
had,-2.7781891606545135,672,67
alimonda,-2.4369570102443907,236,62
no,-4.08597557793695,455,566
essi,-4.080899919703753,57,54
dopo,-3.925340333069173,1409,31
fra,-4.354649771488354,268,30
piazza,-2.7481741490181193,971,111
roma,-3.282117714169657,269,51
venti,-3.2364314447024634,62,29
mezzo,-2.9229891842547544,274,25
was,-3.093926425723641,453,33
demonstrators,-2.05711049984928,104,30
quel,-4.021434800700071,821,60
luglio,-3.457762705738586,696,31
mani,-3.461109347260789,156,89
stato,-3.629739169518445,1732,52
g8,-3.5606783424744015,725,32
over,-3.86854273467604,56,45
punto,-3.168880873094901,358,31
defender,-2.063711183880632,237,52
anni,-4.467965778587295,1373,42
parti,-3.895335251672615,84,30
porta,-4.238121083450681,145,35
usa,-3.715175446976586,80,36
quando,-3.818843066123767,1034,30
festa,-3.173928202422145,35,77
parte,-3.56320141665,1096,58
poi,-4.069907681762855,1194,31
auto,-3.4159571906207384,65,44
durante,-3.339529928675926,727,37
