w,s,ntarget,ntogether
,-4.207673247529104,1401,504
CARLO,-3.6261684619363015,2313,54
altri,-2.884217699701104,638,38
ferma,-2.90939813561292,45,44
alcuni,-2.1625321609202226,632,80
corso,-2.7862585117252023,317,40
fatti,-3.315642888706054,526,26
san,-4.112857306502426,221,28
post,-3.8553465143213637,188,35
cia,-3.655676119448698,49,122
fin,-3.9268440057832383,118,49
atto,-3.4528516695625973,155,39
violenti,-1.5538781160273931,89,39
nato,-3.8019132457673734,80,25
aver,-3.3027215281310425,491,40
corteo,-2.667994591231468,296,29
manifestanti,-0.23657662639445395,504,504
mentre,-3.2512461009681957,678,26
polizia,-2.402652400047192,1358,167
corte,-2.8272469363730535,352,47
pressi,-2.841442591261433,40,26
carabinieri,-2.67242711919326,742,70
bloc,-2.4990225517981552,93,40
ancora,-3.450896634726794,1006,31
me,-3.940100576757212,418,297
colpi,-2.627316233597412,151,38
quali,-2.8345066645858497,394,25
otto,-4.036951584733733,92,29
qua,-3.8293737906232415,79,103
senza,-3.560241375021523,906,27
tenta,-2.816793455986779,45,27
black,-2.6500243122003093,274,25
scontri,-1.9300976560390957,259,43
genova,-3.2940533427105683,1056,67
atti,-3.508562276576603,133,65
tanti,-0.8593013426578534,177,504
te,-4.0031389134177084,84,381
azione,-3.915897265923079,57,82
azioni,-3.671757860872208,88,34
alcun,-2.6673790171892535,107,99
stati,-2.8696637890232086,611,34
ieri,-2.953843482601588,158,75
spara,-2.6631476991694907,41,34
carica,-2.3667904934477133,160,32
far,-3.974246244677822,340,26
via,-3.2861881336253482,718,65
verso,-2.7533097077941315,483,56
dato,-3.308794994507134,231,27
mai,-3.6017149582409065,633,42
anno,-3.843172388526872,204,70
pistola,-2.4141652292138143,232,32
vie,-3.612675330126883,85,26
qui,-4.1698018394732035,496,32
secondo,-2.906511194574152,563,29
gruppo,-2.271784913097464,347,39
essere,-3.7962012446511277,1319,29
ora,-3.9367083253587567,350,64
morte,-3.3847774935927184,651,29
lancia,-1.9830553910893522,47,50
fa,-4.027123560808182,750,133
lug,-2.968777287728947,34,37
2001,-3.230084204926334,445,33
mente,-3.644826704791057,72,98
due,-3.3191920635908896,1288,48
ore,-3.8495027958778665,350,69
tre,-3.4773443976787535,446,109
tolemaide,-1.9582265294354824,86,28
dietro,-2.4931177808870926,200,28
stata,-3.232308899948445,663,25
sassi,-2.356840162594545,65,26
lacrimogeni,-1.865338811654957,109,28
alimonda,-2.5371990102206508,236,40
no,-3.8971875945189933,455,449
essi,-3.3032606359207293,57,61
dopo,-3.522038056021951,1409,41
cerca,-3.1440428176499187,112,25
fra,-4.0133391704690995,268,35
piazza,-2.558111468168162,971,88
quel,-3.6262229569581947,821,71
luglio,-2.9023670182067813,696,35
testa,-3.3890536149527497,292,26
mani,-1.4100902232356813,156,504
stato,-3.901022055171108,1732,36
g8,-3.099797395224668,725,48
punto,-2.9744797906463454,358,29
defender,-2.0824033168927847,237,35
anni,-4.35660478335125,1373,30
usa,-3.345794214592443,80,46
festa,-0.9873635864008137,35,504
parte,-3.176428441553988,1096,70
poi,-3.723140041280542,1194,34
diaz,-2.607369969415033,331,32
durante,-2.6549225096641154,727,54
