w,s,ntarget,ntogether
,-4.373896508590631,1401,196
CARLO,-3.3495362256711054,2313,30
cia,-3.9865773110204556,49,36
perso,-3.272763010715815,77,26
ce,-4.03953931199169,178,89
polizia,-3.0721638588058324,1358,30
me,-4.101030943569849,418,115
qua,-3.7617241026827575,79,51
genova,-3.1968895942569207,1056,30
te,-4.1337164255269006,84,147
azione,-2.189435139166591,57,196
stazione,0.10580597957169602,75,196
gran,-2.774316183368845,145,26
ora,-4.019763083502284,350,25
fa,-4.217641884806315,750,54
lug,-2.5633121796207825,34,30
mente,-3.946302099375174,72,35
so,-3.9297165391767623,194,127
ore,-3.939631616940194,350,34
tre,-3.879956436804511,446,29
no,-4.137220983044507,455,159
piazza,-2.720995827964175,971,32
manifestazione,0.7078849824463974,196,196
luglio,-2.491987895296188,696,29
mani,-1.576313484297209,156,196
parte,-2.8619351116515506,1096,39
poi,-3.269301348888162,1194,25
