w,s,ntarget,ntogether
,-4.446300290229186,1401,151
genova,-2.8560120641677913,1056,31
tre,-3.45404186402947,446,40
azioni,-1.279295743606209,88,151
no,-4.254315110928474,455,112
cia,-3.7257424886048627,49,44
ce,-4.012777111422497,178,78
mani,-1.6487172659357643,156,151
fa,-4.411062334668318,750,32
polizia,-3.1943212886463455,1358,25
manifestazioni,0.9687198048619903,151,151
anno,-3.6548102149242703,204,28
g8,-1.8945009639682235,725,54
me,-4.112129836637898,418,93
parte,-3.091723205684429,1096,25
durante,-1.9504013663201603,727,35
