w,s,ntarget,ntogether
,-4.254700018936242,1401,1358
gennaro,-2.211970603932092,64,32
perch,-3.9038311920505397,79,75
interno,-2.9682348412822313,47,39
oggi,-3.977714911931748,582,51
tante,-3.82600400153673,80,55
episodi,-2.9682348412822313,61,26
però,-3.5969734467771683,350,38
penitenziaria,-1.511131077748991,32,57
CARLO,-3.77557229740734,2313,143
reso,-3.243978022898047,56,45
armi,-3.4348649922571,173,41
dio,-4.234705539008581,55,51
tempo,-3.8298304083803902,466,45
tali,-3.654007468140924,74,190
filmati,-2.2292172066561884,64,25
altri,-3.4472163805626566,638,65
italiana,-3.3975942695898316,166,33
mare,-4.076048208852587,59,29
processo,-3.0854861034615793,240,36
200,-3.251825068970479,46,185
gente,-3.1834828155936608,194,69
ferma,-3.6323261890655134,45,46
donne,-3.514093238563992,239,26
alcuni,-3.1223080047341165,632,76
consap,-2.7453052165920058,84,36
essa,-3.9509811152836143,63,56
corso,-3.5127579975453926,317,72
fine,-3.952348169495147,347,38
fatti,-3.3623733199124755,526,77
san,-3.9907309104918935,221,101
post,-4.008209363964193,188,81
cia,-3.9537209789360257,49,257
presenti,-3.124888651327608,170,25
fin,-3.89638479829853,118,145
pubblica,-3.574933391068861,195,50
atto,-3.7772138373672983,155,109
nato,-3.7988530124707793,80,73
capi,-3.8484768573887886,49,43
perso,-3.619885431989153,77,106
aver,-3.514438304129873,491,98
funzionari,-2.341087102499532,62,40
lega,-3.9686086903669273,55,41
italia,-3.482915891510651,310,185
prese,-3.6077324242989977,52,90
corteo,-2.9505352641828306,296,36
nera,-3.8030198074310895,25,38
sindacato,-1.7052072741749802,97,42
nomi,-3.773643876140696,70,38
pochi,-3.2080035580381145,294,33
ove,-3.812657759583836,45,210
don,-3.8824180908168215,56,75
chiara,-3.2460557849682323,39,41
manifestanti,-2.44967917145433,504,158
zona,-3.113054193680605,191,27
torna,-3.5763388726775958,55,32
mentre,-3.492132546615575,678,61
polizia,-1.2277686664417267,1358,1358
così,-4.203298232678198,637,26
irruzione,-1.6688939549487753,39,95
corte,-2.792281766967639,352,133
resta,-3.5543070004582655,121,48
pressi,-3.5748055220066064,40,39
centro,-3.6226290355449433,221,25
carabinieri,-3.1131637407037744,742,128
messo,-3.3516619706923967,135,35
stesso,-3.761883104126256,407,27
bloc,-3.0577936737487357,93,66
pubblico,-3.422768548755835,338,34
ancora,-3.693678815539072,1006,73
posto,-3.8611709385736406,207,29
me,-3.911535053052256,418,883
colpi,-3.54300072113654,151,36
quali,-3.4639086600276197,394,42
otto,-3.8633915336083504,92,93
detto,-3.7996866932193565,365,30
qua,-3.966578982132514,79,239
arriva,-3.591177763168928,132,43
presidente,-3.668712192808611,302,25
già,-3.564106046240664,659,39
preso,-3.0735953569400576,169,41
aria,-3.4017687907465755,49,103
caserma,-2.500734342254614,169,50
media,-3.7944259662484194,120,25
senza,-3.5977551511230206,906,87
ancor,-3.696217603926684,41,73
tenta,-3.6497614908191576,45,26
dimostra,-2.9682348412822313,46,39
confronti,-2.925499186021505,203,26
black,-2.6390643297670344,274,57
fronte,-3.0930305976627084,312,38
scontri,-2.620535542067235,259,49
genova,-3.2026334354361725,1056,189
posta,-3.9837732606659726,49,28
atti,-3.730067058941596,133,135
tanti,-2.864764522939485,177,194
15,-3.84569844963111,173,26
te,-3.9640564429095932,84,1102
volte,-3.5481433009992704,267,30
nere,-3.7821731107266485,26,31
azione,-3.7209741190444223,57,250
azioni,-3.328923968345347,88,152
alcun,-3.3809393206382468,107,127
uso,-3.162184436071305,158,59
viene,-3.9258401674940404,562,33
personale,-2.878449537409876,160,28
stati,-3.401323499692041,611,74
stare,-3.628117928201664,104,29
vengono,-3.1606067339296873,252,35
entro,-3.7002527962311698,45,47
conti,-3.985742176310538,46,40
