w,s,ntarget,ntogether
,-4.346308552071802,1401,352
ore,-4.35452261627701,350,43
genova,-3.628255430797242,1056,37
tre,-3.852368480285682,446,55
perch,-3.7094647620380536,79,26
atti,-3.9633923524518915,133,29
tanti,-3.38275983843157,177,35
fatto,-3.4296125888626916,998,25
azione,-4.079647372771182,57,55
ora,-4.393970506202658,350,34
ieri,-3.216586606706117,158,34
no,-3.9946740537459138,455,322
san,-4.064067142332994,221,30
cia,-3.9843071624859165,49,76
fin,-3.5818851552847066,118,59
atto,-3.6535223650247484,155,35
far,-3.870193401833341,340,28
quel,-3.90326663120492,821,50
testa,-3.0301085224794786,292,32
mani,-3.2053102186381826,156,67
fa,-3.9695593851448527,750,118
polizia,-3.4345368238592027,1358,44
anno,-3.9166482141502934,204,48
poliziotti,0.12236846607881754,352,352
stato,-3.96493381351787,1732,28
carabinieri,-2.9055330904085652,742,30
fuori,-2.4476959920494896,317,30
mente,-4.035381729428863,72,53
me,-4.221658931358464,418,183
anni,-4.1277128191261765,1373,26
porta,-3.8978681239895616,145,26
otto,-3.7862200769006935,92,25
due,-3.373434125319693,1288,33
scuola,-2.0557624524418223,334,44
parte,-3.5326094363594374,1096,31
fini,-3.140114043885919,68,28
diaz,-1.9035843906500323,331,66
