w,s,ntarget,ntogether
,-4.31748811353631,1401,276
CARLO,-3.979504504609519,2313,25
fin,-3.7301337115371838,118,33
atto,-3.7604944845769164,155,26
ove,-4.0293989250785955,45,35
polizia,-3.121102255305007,1358,51
esiste,-2.4014599782705552,73,28
pubblico,-2.2150635871663282,338,29
me,-3.9003602481076975,418,194
atti,-3.4919033905899646,133,40
azione,-3.71037634199487,57,65
uso,-2.4851077255439686,158,27
anno,-3.795307721878383,204,43
qui,-3.839560152602626,496,27
ora,-3.777535950431768,350,43
esso,-3.735804150629782,40,31
fa,-4.078090004400209,750,84
violenza,0.3655987759597647,276,276
propri,-3.318961017009655,79,26
and,-3.9818701697884813,1003,59
ore,-4.111292306396063,350,38
tre,-3.8784711041883195,446,48
no,-4.075735561929308,455,222
essi,-3.519395557080462,57,36
quel,-3.6287837778198684,821,47
mani,-3.599346630922724,156,36
stato,-3.721703503636923,1732,31
anni,-3.9714938862348586,1373,29
usa,-3.1231084339431283,80,27
parte,-3.5406935547593963,1096,26
