w,s,ntarget,ntogether
,-4.453528917766259,1401,171
genova,-3.0063712702587875,1056,37
tre,-3.7961490675620757,446,32
bolzaneto,-0.9434472356741608,110,38
no,-4.234117601805101,455,131
cia,-4.178630275264634,49,31
fin,-3.4590357671009384,118,37
quel,-3.92323635683886,821,27
fa,-4.2353414619057155,750,47
polizia,-2.8280820918856096,1358,47
anno,-3.6166750051142307,204,38
stato,-3.4465651496636722,1732,31
g8,-2.4333184617468837,725,34
me,-4.079815104419576,418,114
anni,-3.3783462258426247,1373,33
scuola,-1.9650666101882428,334,25
violenze,0.8443360851742548,171,171
caserma,-1.0199940768886355,169,31
parte,-2.746103296126429,1096,45
diaz,-1.8206967308442643,331,36
