adj,noun,dep,id
rotola,CARLO,nsubj,c0c343f7-2f88-40bc-a519-c379f287def7
rotola,CARLO,nsubj,4fc33e67-db4a-4d47-b048-fdad9ae231aa
giulianicondividi,CARLO,obj,4f11fd92-c402-445d-85ba-4e7067721318
giulianicondividi,CARLO,obj,85250c3e-d938-47ec-9c52-f303023b7170
giovane,CARLO,obj,2642f2db-3a80-4282-b313-885f2922cea1
giovane,CARLO,obj,6763f532-8737-4e04-a775-7f91943a59ec
ferretti,CARLO,nmod,f0004f46-0746-4f95-9070-d617585e2cac
giovane,CARLO,obj,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
salvajemente,CARLO,obl,c40c77c8-9df5-4d1b-a1fc-d4a4723895c3
giovane,CARLO,nmod,604ceda0-0e99-4560-95ee-15e52e3e33f0
giovane,CARLO,nmod,604ceda0-0e99-4560-95ee-15e52e3e33f0
giovane,CARLO,obj,604ceda0-0e99-4560-95ee-15e52e3e33f0
giulianicondividi,CARLO,obj,85a6ff40-323e-42ec-82a1-ac7eab91633b
aringa,CARLO,obl:agent,fb6a1679-1925-4f74-9cac-db35c6702255
vivo,CARLO,obj,76130d73-afbf-4067-875d-46e34e4d8097
povero,CARLO,ROOT,7a8f992f-56da-4dfe-af2b-7ec79dce90a2
stesso,CARLO,conj,43916554-663f-493e-af10-81a59d1f4c27
anarchiste,CARLO,nsubj,e70e90c0-0a5d-40c6-8a71-0918f8801b1b
anti,CARLO,obj,0963f069-ffca-45ef-b421-205209089c01
stesso,CARLO,nmod,a0144b96-c724-42fd-a88c-ede99ffe4a0e
vivo,CARLO,nmod,1d46afe3-6794-4f53-9da1-e72e0398cab1
anima,CARLO,nmod,51b7f603-6568-4fac-951f-bc186dc88e5b
estintore,CARLO,conj,0ab8baaa-b8d3-4ff1-9d72-3914530b92d1
presentandosi,CARLO,nmod,212be4c5-beba-41fc-a986-03401ba81b44
ciali,CARLO,nmod,b1794549-ab37-49a0-ba55-d4feea0a84b4
gentile,CARLO,nmod,a5a7146f-140e-4f79-946b-13a76cda4202
giovane,CARLO,obl,08a7f779-0119-41f1-a909-606af0d56d84
giovane,CARLO,nmod,08a7f779-0119-41f1-a909-606af0d56d84
giulianicondividi,CARLO,obj,a87a3b78-0a2e-4ea0-86ab-b5a25b58eb21
giovane,CARLO,obj,5a8cf336-82c6-4446-961b-9487236b7562
scorso,CARLO,nsubj,5480c380-1bce-4c65-b376-533e96bc3b74
pavido,CARLO,nsubj,52527c1e-b061-459f-9d52-27650b3ccb53
assente,CARLO,nsubj,52527c1e-b061-459f-9d52-27650b3ccb53
lunica,CARLO,nmod,ab44f4f4-b8d2-49d8-b5d5-139b9d52d89c
manifestante,CARLO,nmod,e96ee901-16a3-4dc8-a99d-d8c6d5ab9cf4
romano,CARLO,obl:agent,79fd61d7-ea3d-4331-a70f-31c6c157a9ce
salvajemente,CARLO,obl,bfc8b340-cfd7-44dd-81b8-e65f2cd50088
giovane,CARLO,nsubj:pass,566c77a3-dc42-47b2-9442-1454fcfda938
povero,CARLO,nsubj:pass,566c77a3-dc42-47b2-9442-1454fcfda938
giovane,CARLO,nmod,6dba5aad-cdf5-4db0-bf3e-1de97a23fd5b
γένοβα,CARLO,ROOT,233047d6-a723-4995-83af-b3705395d3d6
giovane,CARLO,obl,bd47c1d7-0083-46ad-9e58-6cceb7b0ecec
giovane,CARLO,obl,9a63d709-e4dc-465d-ba37-dceb3ee98e48
piccolo,CARLO,nsubj,2e5972df-35d7-40b9-98ba-bba2ac401afe
sodali,CARLO,nsubj,b4ec8eaf-50d4-44ee-bb4b-451eb70a67fc
place,CARLO,nmod,3a0d4529-df60-4943-a08f-8b16f7d4a120
radikalste,CARLO,ROOT,eb00ab45-7ca6-4d7a-ae87-f8f718079731
umano,CARLO,nsubj,af4537c8-1489-47cf-bc63-23c3747b38d3
estintore,CARLO,conj,e25adf67-cf9d-4bc3-b174-b6927891ca6e
democratica,CARLO,conj,d9778f78-c780-432c-a8a1-be64b4b7f3ed
riferendosi,CARLO,nmod,f228af72-b79d-491c-9185-f893d4c93e3f
giovane,CARLO,obj,3225d98b-2aa0-4f00-8452-058ee72d4303
agonizzante,CARLO,nmod,492e5d80-ee2b-4c41-bf37-5d49da3ee39c
giovane,CARLO,nsubj:pass,bf9bbbc5-9f20-4e88-852c-c64b21ae5cd3
amanti,CARLO,nmod,5e3f0bf8-bf77-4687-9411-5e6fb5f486bb
stesso,CARLO,nsubj,a571f82b-7f9a-46c7-a6ae-dbff89f9cc22
defunto,CARLO,nmod,55efd55d-0b26-4f7a-88c4-a54acd8aa47d
sconcertante,CARLO,nsubj,4a40df39-9c8a-43b3-8c08-515e16b3614d
povero,CARLO,nsubj,4a40df39-9c8a-43b3-8c08-515e16b3614d
anti,CARLO,obj,2e292c42-6e55-4696-b1e4-9d7543a4bac9
vivo,CARLO,nmod,b6a3bec7-8049-405b-9426-11419cc9d2c6
giovane,CARLO,conj,688b1730-206c-499e-a510-8f51f5c60023
minuscolo,CARLO,obj,4ff3f346-0e1c-4d94-83b7-01ddc1927ba2
stesso,CARLO,nsubj,edf7d998-6eab-4e3e-a9ee-41b3432bb6dc
stesso,CARLO,nsubj,851555b6-23b5-41a5-849f-f805dbf47807
family,CARLO,nmod,ddc75f00-b2c6-4ba1-92ab-b3092ebdb125
stesso,CARLO,nsubj,9b46044a-31fa-4bac-bef4-834f51238de4
giovane,CARLO,nsubj,eb7edfff-0c7e-4070-95a3-c904fa458b83
privo,CARLO,nmod,f7db8dee-aa98-49da-976c-d1cb3e86f97a
defunto,CARLO,nmod,54e1a86d-65dc-487d-9350-5a9481b35036
giuliani,CARLO,nsubj,8001acae-6015-4776-bd35-d95baaf5a1a5
v,CARLO,obj,180ed2cd-2188-49d3-8a01-0e85b936b19e
v,CARLO,nmod,180ed2cd-2188-49d3-8a01-0e85b936b19e
v,CARLO,nmod,180ed2cd-2188-49d3-8a01-0e85b936b19e
i,CARLO,obl,180ed2cd-2188-49d3-8a01-0e85b936b19e
i,CARLO,nmod,180ed2cd-2188-49d3-8a01-0e85b936b19e
