verb_lemma,noun,n
alla,CARLO,3
allungare,CARLO,1
armare,CARLO,4
asfaltare,CARLO,1
assassinare,CARLO,1
avait,CARLO,1
avere,CARLO,1
avvenire,CARLO,3
avvicinare,CARLO,2
cadere,CARLO,1
carabiniere,CARLO,1
celebrare,CARLO,1
cercare,CARLO,1
chino,CARLO,1
colpire,CARLO,2
compiere,CARLO,2
defender,CARLO,2
dire,CARLO,2
disporre,CARLO,1
diventare,CARLO,1
essere,CARLO,12
fare,CARLO,2
fiorante,CARLO,1
giustiziare,CARLO,1
global,CARLO,1
guardare,CARLO,1
iba,CARLO,2
impugnare,CARLO,1
inadequate,CARLO,1
intended,CARLO,1
lanciare,CARLO,1
levantó,CARLO,1
mirare,CARLO,1
morire,CARLO,11
offeso,CARLO,2
ospitare,CARLO,1
over,CARLO,1
parlare,CARLO,2
passamontagna,CARLO,1
passare,CARLO,1
preparare,CARLO,1
puo,CARLO,3
resa,CARLO,1
restare,CARLO,1
reste,CARLO,1
riguardare,CARLO,1
risultare,CARLO,1
sapere,CARLO,2
scontrare,CARLO,1
senatrice,CARLO,1
sollevare,CARLO,5
starb,CARLO,1
stare,CARLO,1
stendere,CARLO,1
straziare,CARLO,1
tentare,CARLO,1
tirare,CARLO,2
uccidere,CARLO,3
voltare,CARLO,1
vorne,CARLO,1
ένας,CARLO,2
κρατούσε,CARLO,1
πέρασε,CARLO,2
