verb,verb_lemma,noun,dep,id
scontrando,scontrare,CARLO,ROOT,6458f88d-3b6e-4e7f-8a07-ffae3882354c
tirato,tirare,CARLO,obj,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
levantó,levantó,CARLO,nsubj,c40c77c8-9df5-4d1b-a1fc-d4a4723895c3
mirando,mirare,CARLO,ROOT,c40c77c8-9df5-4d1b-a1fc-d4a4723895c3
solleva,sollevare,CARLO,nsubj,de25ce53-a3a0-4ae9-b68f-cf4d08420ab7
solleva,sollevare,CARLO,nsubj,528665e5-3562-4ea6-a2ce-8e71cde4f51f
passamontagna,passamontagna,CARLO,nsubj,1c303417-9d9e-4fb8-9f6e-587030b1db1b
guarda,guardare,CARLO,nsubj,1c303417-9d9e-4fb8-9f6e-587030b1db1b
defender,defender,CARLO,nsubj,fb6a1679-1925-4f74-9cac-db35c6702255
assassinato,assassinare,CARLO,obj,7e8e1f83-e801-4828-869d-c8c8904a3d72
ero,essere,CARLO,ROOT,7e8e1f83-e801-4828-869d-c8c8904a3d72
sa,sapere,CARLO,ROOT,7e8e1f83-e801-4828-869d-c8c8904a3d72
compiuto,compiere,CARLO,nmod,12cf5c36-4997-4238-b489-81c760a84331
compiuto,compiere,CARLO,nmod,12cf5c36-4997-4238-b489-81c760a84331
steso,stendere,CARLO,obl,8aca5c8c-3ad4-4c43-adf1-438c2d437625
alle,alla,CARLO,nmod,ae38a915-5c68-408b-ba82-ff603e6a68e2
preparava,preparare,CARLO,obj,39708c94-4fa6-4e92-8f89-a95146cb9e78
dicono,dire,CARLO,nsubj,15d62fc7-6917-4fd5-bab0-fba3f12dda5e
è,essere,CARLO,ROOT,8d19739b-acbd-4eb4-8da3-8f72f9e8ac03
alle,alla,CARLO,nmod,0a461f78-462a-407a-931d-b6d05137a9de
κρατούσε,κρατούσε,CARLO,conj,75096bb4-1361-4c96-bd38-50b664e79657
avait,avait,CARLO,nsubj,e70e90c0-0a5d-40c6-8a71-0918f8801b1b
reste,reste,CARLO,nsubj,e70e90c0-0a5d-40c6-8a71-0918f8801b1b
over,over,CARLO,ROOT,0963f069-ffca-45ef-b421-205209089c01
defender,defender,CARLO,nsubj,6c21a6f6-5f06-4932-9d36-518653a27aac
global,global,CARLO,nmod,7b8276d6-d7a8-482e-ac62-64fde6e4346f
era,essere,CARLO,obl,1d46afe3-6794-4f53-9da1-e72e0398cab1
morto,morire,CARLO,nmod,1d46afe3-6794-4f53-9da1-e72e0398cab1
aveva,avere,CARLO,conj,1d46afe3-6794-4f53-9da1-e72e0398cab1
tirando,tirare,CARLO,obl,bf8901ba-06d5-43ab-ba9a-c76a9c740e98
rese,resa,CARLO,nsubj,52527c1e-b061-459f-9d52-27650b3ccb53
solleva,sollevare,CARLO,nsubj,8d9dba03-12e2-4cea-8c15-d54df3d63c1c
muore,morire,CARLO,ROOT,bee50797-8ec7-4dbe-831d-419f3d8e214d
è,essere,CARLO,ROOT,eadcb9c7-2ede-41dd-977c-3b06434d54b6
alle,alla,CARLO,nmod,79fd61d7-ea3d-4331-a70f-31c6c157a9ce
πέρασε,πέρασε,CARLO,conj,538f8f46-55e2-4fb5-8b87-0140ac1879b3
ένας,ένας,CARLO,nsubj,538f8f46-55e2-4fb5-8b87-0140ac1879b3
morto,morire,CARLO,obl,49bb7d5b-911d-41ac-b25b-8f311e6bf646
πέρασε,πέρασε,CARLO,conj,c2d9a470-85c4-4f7c-87a7-797a8cfc9df3
ένας,ένας,CARLO,nsubj,c2d9a470-85c4-4f7c-87a7-797a8cfc9df3
