adj,noun,dep,id
oceanica,manifestazione,conj,9fa5c1a2-4890-4af6-b104-c42a3e30099d
sindacale,manifestazione,obl,f0004f46-0746-4f95-9070-d617585e2cac
alle,manifestazioni,obj,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
conclusiva,manifestazione,obl,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
ultima,dimostrazione,obl,85106f19-f25e-4fe6-881c-9e26c4c85d58
civile,manifestazione,obj,863233a9-e1c5-4636-b324-0e6695789c91
civile,manifestazione,obj,863233a9-e1c5-4636-b324-0e6695789c91
civile,manifestazione,obj,df9b9d21-4d43-4d98-a32a-3624719b1e1c
civile,manifestazione,obj,df9b9d21-4d43-4d98-a32a-3624719b1e1c
prima,manifestazione,obl:agent,e08d8716-9443-43b0-8006-a5a1f0b476a8
pacifica,manifestazione,nmod,e08d8716-9443-43b0-8006-a5a1f0b476a8
nelle,manifestazioni,conj,fb6a1679-1925-4f74-9cac-db35c6702255
tremenda,dimostrazione,obj,fb6a1679-1925-4f74-9cac-db35c6702255
qualsiasi,manifestazione,obl,12cf5c36-4997-4238-b489-81c760a84331
cruente,manifestazioni,obj,12cf5c36-4997-4238-b489-81c760a84331
qualsiasi,manifestazione,obl,12cf5c36-4997-4238-b489-81c760a84331
cruente,manifestazioni,obj,12cf5c36-4997-4238-b489-81c760a84331
alle,manifestazioni,obj,92c47f23-730d-49ea-a74c-f240b1243227
studentesche,manifestazioni,obj,92c47f23-730d-49ea-a74c-f240b1243227
diverse,manifestazioni,obl,43916554-663f-493e-af10-81a59d1f4c27
eventuali,manifestazioni,obj,8d19739b-acbd-4eb4-8da3-8f72f9e8ac03
violente,manifestazioni,obj,8d19739b-acbd-4eb4-8da3-8f72f9e8ac03
sportive,manifestazioni,nmod,e44be65c-54e2-42c1-bb93-afd0b02532de
annuale,manifestazione,obj,9f812644-3388-49a8-8380-59cbd545b423
antifascista,manifestazione,nmod,15013bb7-51c8-4124-bb3e-65b5719256cb
nelle,manifestazioni,conj,6c21a6f6-5f06-4932-9d36-518653a27aac
tremenda,dimostrazione,obj,6c21a6f6-5f06-4932-9d36-518653a27aac
politica,manifestazione,obl,2f2fa94f-46a3-4fb7-a6c1-628d0c22baec
violente,manifestazioni,obj,f87a90c5-13da-43b2-be81-667e5c1063ff
antifascista,manifestazione,obj,c5240cc6-11c5-4e1d-9855-7c06216b824c
nazionale,manifestazione,ROOT,eea8cb74-cdb8-4cdc-a5c6-b149c288caf3
pacifiche,manifestazioni,nsubj,9cd6a46d-ad79-40f7-9ca6-a5edb5dd9242
politiche,manifestazioni,obj,26ff62c7-b7af-473c-a70e-8897deca24f0
pacifica,manifestazione,obl,08a7f779-0119-41f1-a909-606af0d56d84
incolpevoli,manifestazione,obl,08a7f779-0119-41f1-a909-606af0d56d84
aperta,manifestazione,conj,5747dfb2-94da-485b-be82-2962beb80885
prossime,manifestazioni,nsubj:pass,53d8bb80-cfe8-41b7-b0d6-5bc5a6eabe25
nelle,manifestazioni,nsubj,b30aa296-aa28-4e81-bca1-b91038c0eeca
alle,manifestazioni,obj,dc822a3c-0eba-4b1e-a9b3-17fa72623949
pacifica,manifestazione,obl,edf0041d-6835-4ce9-bf01-5ebc94fefc44
grandiosa,manifestazione,obl,edf0041d-6835-4ce9-bf01-5ebc94fefc44
grande,manifestazione,ROOT,3141bbe8-dda7-45b2-bb19-51afc2917c26
conclusiva,manifestazione,ROOT,3141bbe8-dda7-45b2-bb19-51afc2917c26
grande,manifestazione,ROOT,e6e04c2c-bd06-4900-9e05-0398ddd14779
conclusiva,manifestazione,ROOT,e6e04c2c-bd06-4900-9e05-0398ddd14779
inqualificabili,manifestazioni,conj,e6e04c2c-bd06-4900-9e05-0398ddd14779
gran,manifestazione,ccomp,49bb7d5b-911d-41ac-b25b-8f311e6bf646
bella,manifestazione,ccomp,49bb7d5b-911d-41ac-b25b-8f311e6bf646
romana,manifestazione,flat:name,81505197-fde1-4cbe-901b-bab960752d90
alle,manifestazioni,obj,bd47c1d7-0083-46ad-9e58-6cceb7b0ecec
alle,manifestazioni,obj,9a63d709-e4dc-465d-ba37-dceb3ee98e48
annuale,manifestazione,nsubj,366fce19-5e5c-4379-a1e1-89592b30b085
prossime,manifestazioni,nsubj,4115d766-c733-49af-9e0e-f6d069fa0feb
grande,manifestazione,nsubj,80260d1d-ff03-484d-8f1a-d6ffa8aa42eb
enorme,manifestazione,obj,80260d1d-ff03-484d-8f1a-d6ffa8aa42eb
grande,manifestazione,obj,80260d1d-ff03-484d-8f1a-d6ffa8aa42eb
tranquilla,manifestazione,obj,80260d1d-ff03-484d-8f1a-d6ffa8aa42eb
importante,manifestazione,nsubj,80260d1d-ff03-484d-8f1a-d6ffa8aa42eb
concreta,dimostrazione,obj,05b0a410-8d7a-4ae8-99bf-c2d817c2a9cf
nelle,manifestazioni,nmod,a27b9902-18b0-42f5-b2e3-0ad08631f14a
studentesche,manifestazioni,nmod,a27b9902-18b0-42f5-b2e3-0ad08631f14a
all,manifestazione,obj,3a61791e-10bb-4e75-95cb-6432dff04d94
nazionale,manifestazione,flat:name,4ad0103d-00df-4b98-abff-f4bd722b2589
prima,manifestazione,nsubj,1b9fd805-1482-46c8-8684-25616a4f7663
nazionale,manifestazione,nsubj,1b9fd805-1482-46c8-8684-25616a4f7663
nazionale,manifestazione,flat:name,8664e54e-10b0-40df-94ff-82445978a240
prima,manifestazione,nsubj,d1011f07-cc5c-459c-9b1e-b102cd5cbc90
pacifica,manifestazione,obl,424c956a-b9f2-4e5b-b6ff-8f85a1b83a04
culminante,manifestazione,ROOT,424c956a-b9f2-4e5b-b6ff-8f85a1b83a04
grande,manifestazione,ROOT,424c956a-b9f2-4e5b-b6ff-8f85a1b83a04
pacifica,manifestazione,obl,424c956a-b9f2-4e5b-b6ff-8f85a1b83a04
inutilissime,manifestazioni,nmod,7b08d078-6092-4b85-8197-9a4eca8da202
grande,manifestazione,nsubj,f48c8507-4b8e-4e2b-81a9-671fd69cb314
organizzata,manifestazione,nmod,9b13e5b8-e8a9-4ff6-96bf-1c5d0971fc0f
annuale,manifestazione,nsubj,266e9c4a-5b39-4e78-9675-297c92fb0071
ennesima,manifestazione,nsubj,10e86aa4-13b8-4a9a-bea6-5a57115376ab
stessa,manifestazione,flat:name,d0eae637-2c66-42ea-81b5-e5c373a6b4f1
stupenda,manifestazione,nsubj,c3ef6edb-c103-423e-a41c-83a50d545977
mite,manifestazione,obl,4041cf7a-9045-47b4-9dd8-ba582d3bba1a
concreta,dimostrazione,ROOT,cb16b4eb-e8b1-4da2-a747-0e496650c536
stessa,manifestazione,flat:name,5e5f6aa9-c80e-465d-87c1-76ca36870f6c
conclusiva,manifestazione,nsubj,ce596894-88a6-468c-85eb-6eadf3bdae55
innumerevoli,manifestazioni,ROOT,edf7d998-6eab-4e3e-a9ee-41b3432bb6dc
ennesima,dimostrazione,ROOT,c0198d6c-8648-4a15-bfb1-285e91b31cc0
particolare,manifestazione,obj,b5051dbc-ca7e-4c4b-a31d-8633c3d3e409
grande,manifestazione,nsubj:pass,b5051dbc-ca7e-4c4b-a31d-8633c3d3e409
importante,manifestazione,obj,b5051dbc-ca7e-4c4b-a31d-8633c3d3e409
tangibili,manifestazioni,conj,b5051dbc-ca7e-4c4b-a31d-8633c3d3e409
della,manifestazione,nsubj,5e02226b-1e4c-4655-aad8-5485dccfd82b
aperta,manifestazione,ROOT,5e02226b-1e4c-4655-aad8-5485dccfd82b
fascista,manifestazione,ROOT,994947ff-474d-4906-8577-c7a6c1c6d951
grande,manifestazione,nsubj,8ac2b62a-c99f-4ef6-8df5-c101dbc847da
social,manifestazione,obl,8ac2b62a-c99f-4ef6-8df5-c101dbc847da
spontanea,manifestazione,nsubj,8ac2b62a-c99f-4ef6-8df5-c101dbc847da
conclusiva,manifestazione,nsubj,af888985-d392-4feb-81ba-5ec66e9cdbb1
conclusiva,manifestazione,nsubj,18c41dc4-376e-4141-8246-93d4e6ae2027
