verb_lemma,noun,n
alla,manifestazioni,1
ansio­se,manifestazione,1
antagonista,manifestazioni,1
appoggiare,manifestazioni,1
armato,manifestazione,1
assegnare,dimostrazione,1
asserire,dimostrazione,1
autorizzare,manifestazioni,1
bardare,manifestazione,3
chiedere,manifestazione,1
costatare,manifestazioni,1
culminare,dimostrazione,1
dare,dimostrazione,1
dibattito,manifestazione,1
dimenticarlo,manifestazione,2
diviso,manifestazioni,1
essere,dimostrazione,5
essere,manifestazione,3
essere,manifestazioni,1
evitare,manifestazioni,1
fare,manifestazioni,1
fascista,manifestazioni,1
fossa,manifestazione,1
incitare,manifestazioni,1
mandare,manifestazioni,1
morto,manifestazione,1
ordinato,manifestazioni,2
organizzare,manifestazione,1
organizzato,manifestazioni,2
previsto,manifestazione,1
programmato,manifestazione,2
programmato,manifestazioni,1
promuovere,manifestazione,1
reprimere,manifestazioni,1
ricordare,manifestazione,1
riempire,manifestazione,1
rimanere,dimostrazione,1
rissa,manifestazioni,1
riuscire,manifestazione,1
scendere,manifestazione,12
scrivere,manifestazione,1
serà,dimostrazione,1
sindacare,manifestazione,1
sulla,manifestazione,2
summit,manifestazioni,1
susseguire,manifestazioni,1
tenere,manifestazioni,4
uccidere,manifestazione,1
vedere,manifestazioni,1
