verb,verb_lemma,noun,dep,id
antagoniste,antagonista,manifestazioni,nmod,3ab6f098-c1f8-460e-a46c-c35eab12bacf
riescono,riuscire,manifestazione,conj,9fa5c1a2-4890-4af6-b104-c42a3e30099d
scritto,scrivere,manifestazione,nmod,eb4c26d7-379d-42e6-b4a7-b40feb8922ba
danno,dare,dimostrazione,ROOT,d4a9692c-5037-4141-afb1-376fe1cf97e8
programmata,programmato,manifestazione,nmod,fb6a1679-1925-4f74-9cac-db35c6702255
alle,alla,manifestazioni,dep,dd8b29a3-3835-49a0-a900-058724715ac7
morti,morto,manifestazione,obl,dd8b29a3-3835-49a0-a900-058724715ac7
programmata,programmato,manifestazione,nmod,6c21a6f6-5f06-4932-9d36-518653a27aac
riempito,riempire,manifestazione,compound,2f2fa94f-46a3-4fb7-a6c1-628d0c22baec
mandato,mandare,manifestazioni,obj,f87a90c5-13da-43b2-be81-667e5c1063ff
scende,scendere,manifestazione,compound,ffe88d69-f13f-4015-92af-b31e9271c012
scende,scendere,manifestazione,compound,8576625a-4715-402f-8974-66a5effddb20
scende,scendere,manifestazione,compound,a9657531-b2c8-4b37-a41a-064bb5443915
scende,scendere,manifestazione,compound,c8ef0318-b434-4323-baee-3a39457a2fc8
scende,scendere,manifestazione,compound,31d0abcf-f037-466d-b2bc-a2355ca68a0d
scende,scendere,manifestazione,compound,0c281457-3275-44c2-a8a1-ae757063c555
scende,scendere,manifestazione,compound,265dc3a2-6462-48ab-843d-56f51e5d41d5
scende,scendere,manifestazione,compound,940a0f8c-3a3e-4b7b-b7f6-2a5353c51039
scende,scendere,manifestazione,compound,7295c6ca-60b9-42c6-b886-851826cb17c3
scende,scendere,manifestazione,compound,b12dab01-4882-4e09-af9b-265cbee3b2e9
scende,scendere,manifestazione,compound,1dd00028-d92c-493c-af33-422df1c251b1
autorizzate,autorizzare,manifestazioni,obj,c775d159-06c8-4de1-b4bf-d1faba636d4d
facenti,fare,manifestazioni,obj,c775d159-06c8-4de1-b4bf-d1faba636d4d
scende,scendere,manifestazione,compound,b0743957-e41f-48f4-a9f3-469e5d262c36
organizzato,organizzare,manifestazione,ROOT,eea8cb74-cdb8-4cdc-a5c6-b149c288caf3
susseguono,susseguire,manifestazioni,obj,eea8cb74-cdb8-4cdc-a5c6-b149c288caf3
ucciso,uccidere,manifestazione,nsubj,bf8901ba-06d5-43ab-ba9a-c76a9c740e98
è,essere,dimostrazione,ROOT,983bd439-9a1b-4a00-9239-9a756bfc3243
programmate,programmato,manifestazioni,nsubj,9cd6a46d-ad79-40f7-9ca6-a5edb5dd9242
bardato,bardare,manifestazione,obl,9d5aa854-1d56-4ffc-94ff-38f2a96d542d
bardato,bardare,manifestazione,obl,9d5aa854-1d56-4ffc-94ff-38f2a96d542d
bardato,bardare,manifestazione,obl,9d5aa854-1d56-4ffc-94ff-38f2a96d542d
appoggiato,appoggiare,manifestazioni,obl,53d8bb80-cfe8-41b7-b0d6-5bc5a6eabe25
divisi,diviso,manifestazioni,obj,dc822a3c-0eba-4b1e-a9b3-17fa72623949
armati,armato,manifestazione,obl,edf0041d-6835-4ce9-bf01-5ebc94fefc44
promossa,promuovere,manifestazione,nsubj,dc4ed865-6309-4cf0-a234-9dd68154f17f
era,essere,manifestazione,ccomp,49bb7d5b-911d-41ac-b25b-8f311e6bf646
risse,rissa,manifestazioni,appos,96fb265d-d1dd-41a9-96d1-5ad35b19667c
ricordiamo,ricordare,manifestazione,nmod,90849e36-af1c-4bba-8a8e-4eaf2b869ffd
ordinate,ordinato,manifestazioni,obj,9ba45d5d-4b43-4da5-91b9-b00a3267102b
dimenticarlo,dimenticarlo,manifestazione,nsubj,366fce19-5e5c-4379-a1e1-89592b30b085
prevista,previsto,manifestazione,obj,9f34b243-c076-4b76-8579-6ad8db563bc8
summit,summit,manifestazioni,conj,ed70b53f-be4e-4147-9c1a-8f27e0949a41
assegna,assegnare,dimostrazione,obj,05b0a410-8d7a-4ae8-99bf-c2d817c2a9cf
incitano,incitare,manifestazioni,ROOT,87005a44-4d77-414d-afba-f4d4fcc7ec38
evitare,evitare,manifestazioni,ROOT,87005a44-4d77-414d-afba-f4d4fcc7ec38
è,essere,dimostrazione,conj,09fb9fec-91d4-4c2f-bb4b-dc6b74eac0fc
è,essere,dimostrazione,conj,ca0544b1-e8b4-4f3f-ad56-afc8258d1202
asserita,asserire,dimostrazione,nsubj:pass,7f3600ce-7f0f-42f5-a16f-4dfc300ebc31
culminate,culminare,dimostrazione,nsubj:pass,7f3600ce-7f0f-42f5-a16f-4dfc300ebc31
è,essere,dimostrazione,conj,0f129395-f47a-43a3-9ed2-a014c115846a
terranno,tenere,manifestazioni,obj,54e2e761-6b80-4385-a937-27edd2b9d5ee
terranno,tenere,manifestazioni,obj,1b9fd805-1482-46c8-8684-25616a4f7663
terranno,tenere,manifestazioni,nsubj:pass,8664e54e-10b0-40df-94ff-82445978a240
terranno,tenere,manifestazioni,obj,9e2899a6-7295-4575-8d82-1e0faded1d16
è,essere,dimostrazione,ROOT,321ab3b2-22e5-428a-8024-a0c86e857697
ordinate,ordinato,manifestazioni,obj,6467d638-8943-484f-b151-95e48771b773
fu,essere,manifestazione,ROOT,424c956a-b9f2-4e5b-b6ff-8f85a1b83a04
sulla,sulla,manifestazione,conj,17f9cbae-b289-4db9-a74d-229e0dbc5f29
sulla,sulla,manifestazione,conj,f0a33b3c-e3c0-4e8e-adb2-eb835d356873
rimasto,rimanere,dimostrazione,nmod,d9778f78-c780-432c-a8a1-be64b4b7f3ed
dibattito,dibattito,manifestazione,compound,9b13e5b8-e8a9-4ff6-96bf-1c5d0971fc0f
dimenticarlo,dimenticarlo,manifestazione,nsubj,266e9c4a-5b39-4e78-9675-297c92fb0071
organizzate,organizzato,manifestazioni,nsubj:pass,d0eae637-2c66-42ea-81b5-e5c373a6b4f1
ansio­se,ansio­se,manifestazione,obl,4041cf7a-9045-47b4-9dd8-ba582d3bba1a
costata,costatare,manifestazioni,nmod,a20a22aa-f5ee-4978-92c0-0899d9928fea
serà,serà,dimostrazione,ROOT,cb16b4eb-e8b1-4da2-a747-0e496650c536
organizzate,organizzato,manifestazioni,nsubj:pass,5e5f6aa9-c80e-465d-87c1-76ca36870f6c
saranno,essere,manifestazioni,ROOT,edf7d998-6eab-4e3e-a9ee-41b3432bb6dc
represse,reprimere,manifestazioni,ROOT,edf7d998-6eab-4e3e-a9ee-41b3432bb6dc
sindacato,sindacare,manifestazione,nsubj,5e02226b-1e4c-4655-aad8-5485dccfd82b
sarà,essere,manifestazione,ROOT,5e02226b-1e4c-4655-aad8-5485dccfd82b
fasciste,fascista,manifestazioni,nsubj:pass,994947ff-474d-4906-8577-c7a6c1c6d951
videro,vedere,manifestazioni,nmod,592d3754-d6c4-411c-b9fb-1dd5d83599cc
chiedere,chiedere,manifestazione,appos,8ac2b62a-c99f-4ef6-8df5-c101dbc847da
fosse,fossa,manifestazione,obl,90727e7c-2181-4eab-874b-c0361d4974f8
