adj,noun,n
23enne,manifestante,1
accusandoli,manifestanti,1
alle,manifestanti,2
altra,manifestante,1
altri,dimostranti,1
altri,manifestanti,21
altro,manifestante,14
andarsi,manifestanti,1
anti,attivisti,1
armati,manifestanti,5
armati,militanti,1
buoni,manifestanti,1
carnefici,manifestanti,1
cattolici,manifestanti,1
comunisti,militanti,1
contemporaneo,manifestanti,2
continua,militanti,1
contrari,manifestanti,1
diaz,manifestanti,1
diretti,manifestanti,2
facinorosi,manifestanti,1
feriti,manifestanti,1
fermi,manifestanti,2
francesi,attivisti,1
genovese,manifestante,2
giovane,contestatore,1
giovane,manifestante,10
giovanissimi,militanti,1
gruppetti,manifestanti,2
ignari,manifestanti,1
imputato,manifestante,1
incappucciato,manifestante,1
incuranti,manifestanti,1
indifendibile,manifestanti,3
inerme,manifestante,4
inermi,dimostranti,2
inermi,manifestanti,13
inferociti,manifestanti,3
infuriato,manifestanti,1
innocua,dimostranti,1
internazionalisti,attivisti,1
italiano,manifestante,1
numerosi,attivisti,2
pacifici,manifestanti,21
palestinesi,manifestanti,1
pieno,manifestanti,1
presenti,manifestanti,12
primi,manifestanti,2
proiettili,manifestanti,1
ritrovandosi,manifestanti,2
schierate,militanti,1
sdraiati,manifestanti,2
solo,manifestante,1
spagnolo,manifestante,4
stessi,manifestanti,4
sui,manifestanti,2
tedesco,manifestante,2
trasecolerebbero,contestatori,1
turchi,militanti,1
ultimi,manifestanti,1
unico,manifestante,1
vecchi,militanti,1
veneto,manifestante,1
vicino,manifestante,1
violenti,dimostranti,2
violenti,manifestanti,22
violento,manifestante,2
