adj,noun,dep,id
pacifici,manifestanti,obj,c0c343f7-2f88-40bc-a519-c379f287def7
violenti,manifestanti,nmod,c0c343f7-2f88-40bc-a519-c379f287def7
violenti,manifestanti,nmod,c0c343f7-2f88-40bc-a519-c379f287def7
contemporaneo,manifestanti,obj,c0c343f7-2f88-40bc-a519-c379f287def7
primi,manifestanti,nsubj,c0c343f7-2f88-40bc-a519-c379f287def7
violenti,manifestanti,nmod,c0c343f7-2f88-40bc-a519-c379f287def7
violenti,manifestanti,nmod,c0c343f7-2f88-40bc-a519-c379f287def7
pacifici,manifestanti,obl,c0c343f7-2f88-40bc-a519-c379f287def7
gruppetti,manifestanti,obl,c0c343f7-2f88-40bc-a519-c379f287def7
violenti,manifestanti,nmod,c0c343f7-2f88-40bc-a519-c379f287def7
violenti,dimostranti,obj,c0c343f7-2f88-40bc-a519-c379f287def7
diretti,manifestanti,obj,c0c343f7-2f88-40bc-a519-c379f287def7
pacifici,manifestanti,obj,4fc33e67-db4a-4d47-b048-fdad9ae231aa
violenti,manifestanti,nmod,4fc33e67-db4a-4d47-b048-fdad9ae231aa
violenti,manifestanti,nmod,4fc33e67-db4a-4d47-b048-fdad9ae231aa
contemporaneo,manifestanti,obj,4fc33e67-db4a-4d47-b048-fdad9ae231aa
primi,manifestanti,nsubj,4fc33e67-db4a-4d47-b048-fdad9ae231aa
violenti,manifestanti,nmod,4fc33e67-db4a-4d47-b048-fdad9ae231aa
violenti,manifestanti,nmod,4fc33e67-db4a-4d47-b048-fdad9ae231aa
pacifici,manifestanti,obl,4fc33e67-db4a-4d47-b048-fdad9ae231aa
gruppetti,manifestanti,obl,4fc33e67-db4a-4d47-b048-fdad9ae231aa
violenti,manifestanti,nmod,4fc33e67-db4a-4d47-b048-fdad9ae231aa
violenti,dimostranti,obj,4fc33e67-db4a-4d47-b048-fdad9ae231aa
diretti,manifestanti,obj,4fc33e67-db4a-4d47-b048-fdad9ae231aa
altri,manifestanti,nsubj,ef50db9a-33e7-4a40-85f1-2dbb7e0221cb
altri,dimostranti,obl,9fa5c1a2-4890-4af6-b104-c42a3e30099d
altro,manifestante,obl:agent,90048776-a375-44f3-a1e8-efaee8784e6c
presenti,manifestanti,nsubj,2642f2db-3a80-4282-b313-885f2922cea1
pacifici,manifestanti,obj,620ed62c-fe9f-423d-98cf-dd5a397c8530
pacifici,manifestanti,obj,620ed62c-fe9f-423d-98cf-dd5a397c8530
presenti,manifestanti,nsubj,6763f532-8737-4e04-a775-7f91943a59ec
trasecolerebbero,contestatori,conj,f0004f46-0746-4f95-9070-d617585e2cac
presenti,manifestanti,nsubj,883fafe5-d774-4158-bb06-cf87965a852a
presenti,manifestanti,nsubj,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
inermi,manifestanti,obj,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
altri,manifestanti,conj,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
presenti,manifestanti,nsubj,f9940fe6-311a-46fc-8a55-204913c1ad0e
