verb_lemma,noun,n
accompagnare,manifestanti,1
accorso,manifestanti,1
accusato,manifestanti,2
al,manifestanti,2
andare,manifestanti,1
appartenere,manifestante,1
appartenere,manifestanti,2
armato,manifestanti,3
arrestato,manifestanti,3
arrivato,manifestanti,1
assalire,manifestanti,1
assaltare,manifestanti,2
attaccare,manifestanti,1
attribuire,manifestante,1
avere,manifestante,1
avere,manifestanti,1
avvenire,manifestanti,2
avvicinare,dimostrante,2
avvicinare,manifestanti,2
bastare,militanti,1
bloccare,manifestanti,1
caricato,manifestanti,1
cercare,manifestanti,11
coinvolgere,manifestanti,2
colpire,manifestanti,2
compattare,manifestanti,9
compreso,manifestanti,2
condannato,manifestanti,1
confrontare,militanti,1
conosciuto,manifestanti,1
continuare,dimostranti,1
corazzato,manifestanti,1
costituire,manifestante,1
costituito,manifestanti,1
dare,manifestanti,1
diro,attivisti,1
distruggere,manifestanti,1
essere,manifestante,4
essere,manifestanti,2
fare,manifestanti,1
fatto,manifestanti,1
fermato,manifestanti,2
global,manifestanti,2
identificare,manifestanti,2
imbottigliare,manifestanti,2
indagato,manifestanti,1
indicare,manifestante,1
infiltrarsi,manifestanti,1
iniziare,manifestanti,5
inseguire,manifestanti,3
islamista,militanti,1
lanciare,manifestanti,4
lasciare,militanti,1
lasciata,manifestanti,3
marchiare,manifestanti,1
massacrare,manifestanti,1
mettere,manifestanti,2
pacifista,militanti,1
pass,manifestanti,1
pestare,manifestanti,2
picchiare,manifestanti,2
portare,manifestanti,1
portare,militanti,1
presentare,manifestanti,2
preso,manifestante,1
preso,manifestanti,1
pressare,manifestanti,9
procedere,manifestanti,2
protesta,manifestante,1
protestare,manifestante,1
provenire,attivisti,1
raccogliere,militanti,1
raggiungere,manifestanti,1
reagire,manifestanti,1
rendere,manifestanti,2
ricordo,manifestanti,1
ridurre,manifestanti,1
rispondere,manifestanti,1
riuscire,manifestante,1
scappare,manifestante,2
scegliere,manifestante,1
scoppiare,manifestanti,1
sfilare,manifestanti,1
spazzare,manifestanti,1
stare,manifestante,3
stare,manifestanti,1
sul,manifestanti,3
tenere,manifestanti,1
tentare,manifestanti,2
tornare,dimostranti,1
tornare,manifestanti,1
trattenere,manifestanti,1
trovare,manifestanti,3
uccidere,manifestante,7
ucciso,attivisti,1
ucciso,manifestanti,2
urlo,manifestante,1
venuto,militanti,12
vestire,manifestanti,2
vestito,manifestanti,3
volere,manifestanti,2
voltare,manifestanti,1
