verb,verb_lemma,noun,dep,id
trovò,trovare,manifestanti,conj,c0c343f7-2f88-40bc-a519-c379f287def7
armati,armato,manifestanti,nsubj,c0c343f7-2f88-40bc-a519-c379f287def7
lanciando,lanciare,manifestanti,nsubj,c0c343f7-2f88-40bc-a519-c379f287def7
appartenenti,appartenere,manifestanti,nsubj,c0c343f7-2f88-40bc-a519-c379f287def7
avvenendo,avvenire,manifestanti,nsubj,c0c343f7-2f88-40bc-a519-c379f287def7
iniziato,iniziare,manifestanti,nsubj,c0c343f7-2f88-40bc-a519-c379f287def7
resero,rendere,manifestanti,obl,c0c343f7-2f88-40bc-a519-c379f287def7
vestiti,vestito,manifestanti,nmod,c0c343f7-2f88-40bc-a519-c379f287def7
arrestati,arrestato,manifestanti,nmod,c0c343f7-2f88-40bc-a519-c379f287def7
trovò,trovare,manifestanti,conj,4fc33e67-db4a-4d47-b048-fdad9ae231aa
armati,armato,manifestanti,nsubj,4fc33e67-db4a-4d47-b048-fdad9ae231aa
lanciando,lanciare,manifestanti,nsubj,4fc33e67-db4a-4d47-b048-fdad9ae231aa
appartenenti,appartenere,manifestanti,nsubj,4fc33e67-db4a-4d47-b048-fdad9ae231aa
avvenendo,avvenire,manifestanti,nsubj,4fc33e67-db4a-4d47-b048-fdad9ae231aa
iniziato,iniziare,manifestanti,nsubj,4fc33e67-db4a-4d47-b048-fdad9ae231aa
resero,rendere,manifestanti,obl,4fc33e67-db4a-4d47-b048-fdad9ae231aa
vestiti,vestito,manifestanti,nmod,4fc33e67-db4a-4d47-b048-fdad9ae231aa
arrestati,arrestato,manifestanti,nmod,4fc33e67-db4a-4d47-b048-fdad9ae231aa
tornare,tornare,dimostranti,nsubj,9fa5c1a2-4890-4af6-b104-c42a3e30099d
compattano,compattare,manifestanti,obj,2642f2db-3a80-4282-b313-885f2922cea1
cercano,cercare,manifestanti,nsubj,2642f2db-3a80-4282-b313-885f2922cea1
pressi,pressare,manifestanti,obj,2642f2db-3a80-4282-b313-885f2922cea1
spazzati,spazzare,manifestanti,obj,620ed62c-fe9f-423d-98cf-dd5a397c8530
fatti,fatto,manifestanti,obj,620ed62c-fe9f-423d-98cf-dd5a397c8530
compattano,compattare,manifestanti,obj,6763f532-8737-4e04-a775-7f91943a59ec
cercano,cercare,manifestanti,nsubj,6763f532-8737-4e04-a775-7f91943a59ec
pressi,pressare,manifestanti,obj,6763f532-8737-4e04-a775-7f91943a59ec
sui,sul,manifestanti,xcomp,f0004f46-0746-4f95-9070-d617585e2cac
compattano,compattare,manifestanti,obj,883fafe5-d774-4158-bb06-cf87965a852a
cercano,cercare,manifestanti,nsubj,883fafe5-d774-4158-bb06-cf87965a852a
pressi,pressare,manifestanti,obj,883fafe5-d774-4158-bb06-cf87965a852a
ucciso,uccidere,manifestante,obj,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
compattano,compattare,manifestanti,obj,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
cercano,cercare,manifestanti,nsubj,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
pressi,pressare,manifestanti,obj,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
pestati,pestare,manifestanti,conj,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
compattano,compattare,manifestanti,obj,f9940fe6-311a-46fc-8a55-204913c1ad0e
cercano,cercare,manifestanti,nsubj,f9940fe6-311a-46fc-8a55-204913c1ad0e
pressi,pressare,manifestanti,obj,f9940fe6-311a-46fc-8a55-204913c1ad0e
compattano,compattare,manifestanti,obj,12cbe679-b275-4efe-9e3d-8fd4abecdcff
cercano,cercare,manifestanti,nsubj,12cbe679-b275-4efe-9e3d-8fd4abecdcff
pressi,pressare,manifestanti,obj,12cbe679-b275-4efe-9e3d-8fd4abecdcff
lasciato,lasciare,militanti,obj,604ceda0-0e99-4560-95ee-15e52e3e33f0
compattano,compattare,manifestanti,obj,604ceda0-0e99-4560-95ee-15e52e3e33f0
cercano,cercare,manifestanti,nsubj,604ceda0-0e99-4560-95ee-15e52e3e33f0
pressi,pressare,manifestanti,obj,604ceda0-0e99-4560-95ee-15e52e3e33f0
era,essere,manifestante,advcl,863233a9-e1c5-4636-b324-0e6695789c91
era,essere,manifestante,advcl,df9b9d21-4d43-4d98-a32a-3624719b1e1c
fare,fare,manifestanti,nsubj,e08d8716-9443-43b0-8006-a5a1f0b476a8
fermati,fermato,manifestanti,obj,1c303417-9d9e-4fb8-9f6e-587030b1db1b
compattano,compattare,manifestanti,obj,38f4d5f4-1996-4cbd-8e62-9aae1b2383ec
cercano,cercare,manifestanti,nsubj,38f4d5f4-1996-4cbd-8e62-9aae1b2383ec
pressi,pressare,manifestanti,obj,38f4d5f4-1996-4cbd-8e62-9aae1b2383ec
coinvolti,coinvolgere,manifestanti,obj,fb6a1679-1925-4f74-9cac-db35c6702255
colpiti,colpire,manifestanti,nmod,fb6a1679-1925-4f74-9cac-db35c6702255
scappa,scappare,manifestante,obj,fb6a1679-1925-4f74-9cac-db35c6702255
ridotti,ridurre,manifestanti,nsubj,3eda091e-9dba-4600-8cd3-868104a9624a
compattano,compattare,manifestanti,obj,3eda091e-9dba-4600-8cd3-868104a9624a
cercano,cercare,manifestanti,nsubj,3eda091e-9dba-4600-8cd3-868104a9624a
pressi,pressare,manifestanti,obj,3eda091e-9dba-4600-8cd3-868104a9624a
reagisce,reagire,manifestanti,nmod,7e8e1f83-e801-4828-869d-c8c8904a3d72
indagati,indagato,manifestanti,obj,2b109ae8-89a7-4b52-9fc1-cad98eb3e98d
identificati,identificare,manifestanti,nsubj,12cf5c36-4997-4238-b489-81c760a84331
identificati,identificare,manifestanti,nsubj,12cf5c36-4997-4238-b489-81c760a84331
distrutto,distruggere,manifestanti,conj,12cf5c36-4997-4238-b489-81c760a84331
arrestati,arrestato,manifestanti,obj,e283e464-9682-4593-b362-49fce2250eda
cercano,cercare,manifestanti,nmod,8aca5c8c-3ad4-4c43-adf1-438c2d437625
lanciano,lanciare,manifestanti,obj,8aca5c8c-3ad4-4c43-adf1-438c2d437625
volevano,volere,manifestanti,nsubj,ae38a915-5c68-408b-ba82-ff603e6a68e2
volevano,volere,manifestanti,nsubj,0a461f78-462a-407a-931d-b6d05137a9de
ucciso,uccidere,manifestante,nsubj,c998fe5a-08fa-4622-b098-503211678f14
iniziarono,iniziare,manifestanti,nmod,c998fe5a-08fa-4622-b098-503211678f14
