verb_lemma,noun,n
accanire,polizia,1
accusato,polizia,1
agire,polizia,1
agitare,polizia,1
al,polizia,5
alla,polizia,2
arrivato,polizia,2
assicurare,polizia,1
atte­stati,polizia,1
avanzare,polizia,9
avere,polizia,3
avvicinare,polizia,5
cadere,polizia,1
chiamare,polizia,4
chiedere,polizia,1
circondare,polizia,1
cocer,polizia,2
collaborare,polizia,1
colmare,polizia,1
conoscere,polizia,1
costituito,polizia,4
costringere,polizia,1
dal,polizia,1
dare,polizia,1
decidere,polizia,3
della,polizia,2
disonorare,polizia,1
dotare,polizia,2
entrare,polizia,1
essere,polizia,10
falciare,polizia,1
fare,polizia,4
fermare,polizia,1
formare,polizia,2
freddare,polizia,1
garantire,polizia,1
giungere,polizia,1
giunto,polizia,1
giustificare,polizia,1
guardare,polizia,1
immaginare,polizia,1
individuare,polizia,3
infiltrare,polizia,1
intervenì,polizia,1
inviare,polizia,1
ispirato,polizia,1
lasciata,polizia,1
lato,polizia,1
limitare,polizia,1
l´altra,polizia,2
mettere,polizia,3
mostrare,polizia,1
obbligato,polizia,2
operare,polizia,1
operato,polizia,1
ordinato,polizia,1
organizzare,polizia,2
osservare,polizia,1
piegare,polizia,2
portare,polizia,1
prefetto,polizia,1
prendere,polizia,9
promuovere,polizia,1
raccontare,polizia,1
rappresentare,polizia,1
ricattare,polizia,1
rimare,polizia,1
rischiare,polizia,1
rispondere,polizia,2
ritirarsi,polizia,2
ritornare,polizia,1
scambiare,polizia,1
schierare,polizia,10
sopraelevare,polizia,1
sortire,polizia,2
spaccare,polizia,2
sparare,polizia,20
sperimentare,polizia,1
stare,polizia,2
svolgere,polizia,1
terminare,polizia,1
tradire,polizia,1
transitare,polizia,2
trovare,polizia,9
vedere,polizia,2
venire,polizia,1
vivere,polizia,2
