verb,verb_lemma,noun,dep,id
dotato,dotare,polizia,obj,c0c343f7-2f88-40bc-a519-c379f287def7
transitava,transitare,polizia,nsubj:pass,c0c343f7-2f88-40bc-a519-c379f287def7
dotato,dotare,polizia,obj,4fc33e67-db4a-4d47-b048-fdad9ae231aa
transitava,transitare,polizia,nsubj:pass,4fc33e67-db4a-4d47-b048-fdad9ae231aa
spara,sparare,polizia,nmod,9fa5c1a2-4890-4af6-b104-c42a3e30099d
trovano,trovare,polizia,ROOT,2642f2db-3a80-4282-b313-885f2922cea1
spara,sparare,polizia,nsubj,2642f2db-3a80-4282-b313-885f2922cea1
schierate,schierare,polizia,obl,2642f2db-3a80-4282-b313-885f2922cea1
avanzano,avanzare,polizia,ROOT,2642f2db-3a80-4282-b313-885f2922cea1
sparando,sparare,polizia,ROOT,2642f2db-3a80-4282-b313-885f2922cea1
preso,prendere,polizia,obj,2642f2db-3a80-4282-b313-885f2922cea1
trovano,trovare,polizia,ROOT,6763f532-8737-4e04-a775-7f91943a59ec
spara,sparare,polizia,nsubj,6763f532-8737-4e04-a775-7f91943a59ec
schierate,schierare,polizia,obl,6763f532-8737-4e04-a775-7f91943a59ec
avanzano,avanzare,polizia,ROOT,6763f532-8737-4e04-a775-7f91943a59ec
sparando,sparare,polizia,ROOT,6763f532-8737-4e04-a775-7f91943a59ec
preso,prendere,polizia,obj,6763f532-8737-4e04-a775-7f91943a59ec
essere,essere,polizia,obl,f0004f46-0746-4f95-9070-d617585e2cac
spara,sparare,polizia,ROOT,883fafe5-d774-4158-bb06-cf87965a852a
schierate,schierare,polizia,obl,883fafe5-d774-4158-bb06-cf87965a852a
avanzano,avanzare,polizia,ROOT,883fafe5-d774-4158-bb06-cf87965a852a
sparando,sparare,polizia,ROOT,883fafe5-d774-4158-bb06-cf87965a852a
preso,prendere,polizia,obj,883fafe5-d774-4158-bb06-cf87965a852a
inviato,inviare,polizia,obj,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
trovano,trovare,polizia,ROOT,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
spara,sparare,polizia,nsubj,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
schierate,schierare,polizia,obl,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
avanzano,avanzare,polizia,ROOT,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
sparando,sparare,polizia,ROOT,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
preso,prendere,polizia,obj,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
atte­stati,atte­stati,polizia,nmod,c3f761f8-a6dd-47ec-ad06-f22c40a7aeb7
spara,sparare,polizia,ROOT,f9940fe6-311a-46fc-8a55-204913c1ad0e
