adj,noun,n
alla,violenza,1
alle,violenze,2
altra,violenza,1
altre,violenze,1
anarchica,violenza,2
assurda,violenza,1
avvenute,violenze,1
barbarica,violenza,1
bestiali,violenze,1
calcistica,violenza,1
carnale,violenza,1
continue,violenze,1
continuò,violenza,1
culturale,violenza,1
della,violenza,1
della,violenze,3
diaz,violenze,4
domestica,violenza,1
dure,violenze,1
eccessiva,violenza,1
efferate,violenze,4
essenziale,violenza,1
estrema,violenza,6
fascista,violenza,1
fasciste,violenze,1
fisica,violenza,5
fisiche,violenze,9
giustificabile,violenza,1
giustifico,violenza,1
grande,violenza,2
gratuita,violenza,1
gratuite,violenze,2
grave,violenza,1
gravi,violenze,1
impunite,violenze,1
inaudita,violenza,2
inaudite,violenze,1
incosciente,violenza,1
inflitte,violenze,5
ingiustificabili,violenze,1
ingiustificate,violenze,7
insensata,violenza,1
insindacabile,violenza,1
inutile,violenza,1
istituzionale,violenza,1
mediatizzata,violenza,1
mobile,violenza,1
motivata,violenza,1
nelle,violenze,2
nuove,violenze,1
offensiva,violenza,1
parallele,violenze,2
peggiori,violenza,1
politica,violenza,1
possibili,violenze,2
pratica,violenza,1
primi,violenza,1
priva,violenza,1
privata,violenza,9
psicologiche,violenze,1
riconducibili,violenza,1
selvaggia,violenza,1
sessuale,violenza,23
sessuali,violenze,1
sistematica,violenza,1
stessa,violenza,1
subite,violenze,3
ulteriori,violenze,2
urbana,violenza,1
usata,violenza,1
vandalica,violenza,1
veloce,violenza,1
verbale,violenza,5
vere,violenze,1
verificatesi,violenze,1
