adj,noun,dep,id
anarchica,violenza,conj,c0c343f7-2f88-40bc-a519-c379f287def7
fisiche,violenze,nmod,c0c343f7-2f88-40bc-a519-c379f287def7
anarchica,violenza,conj,4fc33e67-db4a-4d47-b048-fdad9ae231aa
fisiche,violenze,nmod,4fc33e67-db4a-4d47-b048-fdad9ae231aa
inutile,violenza,appos,620ed62c-fe9f-423d-98cf-dd5a397c8530
fasciste,violenze,obj,f0004f46-0746-4f95-9070-d617585e2cac
della,violenze,obj,f0004f46-0746-4f95-9070-d617585e2cac
insindacabile,violenza,nsubj,f0004f46-0746-4f95-9070-d617585e2cac
ulteriori,violenze,obj,de25ce53-a3a0-4ae9-b68f-cf4d08420ab7
sessuale,violenza,nmod,de25ce53-a3a0-4ae9-b68f-cf4d08420ab7
ulteriori,violenze,obj,528665e5-3562-4ea6-a2ce-8e71cde4f51f
sessuale,violenza,nmod,528665e5-3562-4ea6-a2ce-8e71cde4f51f
privata,violenza,conj,716ccf02-bf44-4f8d-841c-19d65314da86
privata,violenza,conj,716ccf02-bf44-4f8d-841c-19d65314da86
fisica,violenza,nsubj:pass,96d205a3-195c-4fe8-bc95-f08a557ccd5a
efferate,violenze,conj,431a3e66-6085-4c73-80b1-88ef4233a9d9
sessuale,violenza,nmod,12cf5c36-4997-4238-b489-81c760a84331
sessuale,violenza,nmod,12cf5c36-4997-4238-b489-81c760a84331
insensata,violenza,obj,12cf5c36-4997-4238-b489-81c760a84331
fisica,violenza,conj,e283e464-9682-4593-b362-49fce2250eda
fisiche,violenze,nmod,8612fffd-d332-4b7e-9754-6e38f8b26ec1
eccessiva,violenza,obj,8612fffd-d332-4b7e-9754-6e38f8b26ec1
altra,violenza,obl,8aca5c8c-3ad4-4c43-adf1-438c2d437625
della,violenza,obl,8aca5c8c-3ad4-4c43-adf1-438c2d437625
nuove,violenze,obl,e44be65c-54e2-42c1-bb93-afd0b02532de
parallele,violenze,obl,c998fe5a-08fa-4622-b098-503211678f14
verificatesi,violenze,nmod,15013bb7-51c8-4124-bb3e-65b5719256cb
diaz,violenze,nsubj:pass,a0144b96-c724-42fd-a88c-ede99ffe4a0e
selvaggia,violenza,nmod,e5d8284c-4680-4397-ab5a-6b37adf909b9
continue,violenze,nmod,8b60a930-99ae-4b49-9a00-8308a85b0553
fascista,violenza,conj,51b7f603-6568-4fac-951f-bc186dc88e5b
psicologiche,violenze,nmod,6f5d3e61-c6e4-4ba5-bcee-f036fb933d4e
