verb_lemma,noun,n
affiancare,violenze,1
animare,violenze,1
avere,violenza,2
avvenire,violenze,2
camuffare,violenza,1
commettere,violenze,1
compiuto,violenze,3
completare,violenza,1
consumato,violenze,1
culminare,violenza,1
dare,violenza,1
definire,violenze,1
della,violenza,2
della,violenze,1
dichiarare,violenza,1
entrare,violenza,1
equiparare,violenze,1
esprimere,violenza,1
essere,violenza,2
fare,violenza,1
fare,violenze,2
generare,violenza,1
identificare,violenze,1
inaudito,violenza,3
incontrollato,violenza,3
individuo,violenza,1
insanguinare,violenze,1
lasciare,violenza,1
legato,violenza,1
minacciare,violenza,2
perpetrare,violenze,3
perpretate,violenze,1
perso,violenza,5
pianificare,violenze,1
posto,violenza,5
praticare,violenze,1
registrare,violenze,2
reiterato,violenze,1
rendere,violenza,1
scoppiare,violenze,1
segnare,violenze,4
stupido,violenza,1
subito,violenze,2
sulla,violenze,1
sviluppare,violenza,1
usato,violenza,2
utilizzare,violenze,1
vedere,violenza,1
volto,violenza,5
